T_K,R,spread90_50,asymmetry,kappa1,kappa2,alpha,abs_alpha,alpha_geom,alpha_res,abs_alpha_res,theta_rad,in_LOOCV_overlap_subset
6,9.55842193548671,10.4147583748364,0.378780514079928,0.190781377067108,-0.0615892619750529,-0.322826383381165,0.322826383381165,-0.572831249001629,0.250004865620464,0.250004865620464,-0.312264682798106,1
8,5.10324271265972,10.3972726204107,0.944595535572429,0.19690765457114,-0.0497927909180983,-0.252873820606648,0.252873820606648,0.0674226152233031,-0.320296435829951,0.320296435829951,-0.247681601167612,1
10,2.28094749153087,10.5657782713878,1.31698295498035,0.17710703759542,-0.0252478335549061,-0.142556918673,0.142556918673,0.569930186356701,-0.712487105029701,0.712487105029701,-0.141602822545212,1
12,0.800786706765585,10.5066975999028,0.939665767869325,0.15269503326033,0.0481763654815828,0.315507089215186,0.315507089215186,0.329539178325306,-0.0140320891101201,0.0140320891101201,0.305622072770357,1
14,0.372010793029286,10.6588524255781,0.778142868662258,0.12447122604336,0.0598040402254154,0.480464779904895,0.480464779904895,0.29733694702224,0.183127832882655,0.183127832882655,0.447897653655914,1
16,0.703870184987391,10.5972134710251,0.742898369486049,0.107134927362003,0.0756877685633675,0.706471460120773,0.706471460120773,0.361691967106506,0.344779493014267,0.344779493014267,0.615056034430985,1
18,1.50561531730532,10.5323657232522,0.971402502471729,0.0980185873442758,0.0839682454095365,0.856656351459244,0.856656351459244,0.686951207378642,0.169705144080602,0.169705144080602,0.708345748482042,1
20,3.19806276575443,10.2574988028397,1.6343435529104,0.0898318457622685,0.0455834306546876,0.507430636294838,0.507430636294838,1.24896114283699,-0.741530506542153,0.741530506542153,0.469574432404152,1
22,7.00173291822134,8.3351306980324,2.72397663905127,0.0382966167716672,0.10405084115363,2.71697214858441,2.71697214858441,1.77336570729602,0.943606441288392,0.943606441288392,1.21812672107051,1
24,35.1894881379254,7.0000670702152,3.21382245489188,0.0699734936967039,0.162440757725133,2.32146130117818,2.32146130117818,2.43062089385841,-0.109159592680226,0.109159592680226,1.1640543778117,1
26,91.9735525900868,3.5,1.25,0.0640590044738315,0.013878672075776,0.216654507664813,0.216654507664813,0.417263368602808,-0.200608860937995,0.200608860937995,0.21335702832405,1
