T_K,R,spread90_50,kappa1,kappa2,abs_kappa2,alpha
6,9.55842193548671,10.4147583748364,0.190781377067108,-0.0615892619750529,0.0615892619750529,-0.322826383381165
8,5.10324271265972,10.3972726204107,0.19690765457114,-0.0497927909180983,0.0497927909180983,-0.252873820606648
10,2.28094749153087,10.5657782713878,0.17710703759542,-0.0252478335549061,0.0252478335549061,-0.142556918673
12,0.800786706765585,10.5066975999028,0.15269503326033,0.0481763654815828,0.0481763654815828,0.315507089215186
14,0.372010793029286,10.6588524255781,0.12447122604336,0.0598040402254154,0.0598040402254154,0.480464779904895
16,0.703870184987391,10.5972134710251,0.107134927362003,0.0756877685633675,0.0756877685633675,0.706471460120773
18,1.50561531730532,10.5323657232522,0.0980185873442758,0.0839682454095365,0.0839682454095365,0.856656351459244
20,3.19806276575443,10.2574988028397,0.0898318457622685,0.0455834306546876,0.0455834306546876,0.507430636294838
22,7.00173291822134,8.3351306980324,0.0382966167716672,0.10405084115363,0.10405084115363,2.71697214858441
24,35.1894881379254,7.0000670702152,0.0699734936967039,0.162440757725133,0.162440757725133,2.32146130117818
26,91.9735525900868,3.5,0.0640590044738315,0.013878672075776,0.013878672075776,0.216654507664813
