record_type,run_id,dataset_or_source,T_range,N_T,N_I_or_grid,phi1_signal,reconstruction_signal,metric_name,metric_value,notes
conflicting_run,ROOT_CANONICAL_RECONSTRUCTION,tables/canonical_reconstruction_metrics.csv,4-30K,14,full_canonical_grid,stable,improves,mean_RMSE_PT,0.0695742780954322,strict_LOTO_canonical_protocol
conflicting_run,ROOT_CANONICAL_RECONSTRUCTION,tables/canonical_reconstruction_metrics.csv,4-30K,14,full_canonical_grid,stable,improves,mean_RMSE_FULL,0.0193655063005014,improvement_count_14_of_14
conflicting_run,ROOT_CANONICAL_RECONSTRUCTION,tables/canonical_reconstruction_metrics.csv,4-30K,14,full_canonical_grid,stable,improves,median_delta_RMSE_PT_minus_FULL,0.0519728585047438,PHI1_IMPROVES_RECONSTRUCTION_YES
conflicting_run,run_2026_03_10_112659_alignment_audit,tables/reconstruction_metrics_v1.csv,4-26K_intersection_only,9,6_current_points,unstable,degrades,RMSE_PT_ONLY,0.00119976569154929,rectangular_intersection_pipeline
conflicting_run,run_2026_03_10_112659_alignment_audit,tables/reconstruction_metrics_v1.csv,4-26K_intersection_only,9,6_current_points,unstable,degrades,RMSE_PT_PLUS_LOCAL,0.172829380806903,LOCAL_IMPROVES_OVER_PT_NO
conflicting_run,run_2026_03_10_112659_alignment_audit,tables/reconstruction_metrics_v1.csv,4-26K_intersection_only,9,6_current_points,unstable,degrades,delta_rmse_local_vs_pt,-0.171629615115353,negative_means_worse_than_PT
conflicting_run,run_2026_03_29_014529_switching_physics_output_robustness_fast,results/switching/runs/run_2026_03_29_014529_switching_physics_output_robustness_fast/physics_output_robustness/tables/phi_diagnostics.csv,4-34K,16,u_grid_120,stable_not_unique,not_tested_here,PHI_VALID_fraction,1,phi_contract_passed_all_pairs
phi1_shape,bridge_local_vs_legacy,tables/phi1_bridge_metrics_v2.csv,matched_subset,12,surrogate_bridge,structural_mismatch,explains_conflict,cosine_similarity,0.696127998553052,far_from_invariant_shape
phi1_shape,bridge_local_vs_legacy,tables/phi1_bridge_metrics_v2.csv,matched_subset,12,surrogate_bridge,structural_mismatch,explains_conflict,explained_variance_local_phi1,0.416857190270202,local_shape_captures_only_41p7pct_of_legacy_surrogate
phi1_shape,bridge_local_vs_legacy,tables/phi1_bridge_metrics_v2.csv,matched_subset,12,surrogate_bridge,structural_mismatch,explains_conflict,sign_consistency_fraction,0.75,one_quarter_sign_disagreement
phi1_shape,bridge_local_vs_legacy,tables/representation_bridge_status_v2.csv,unmatched_temperatures,4,none,regime_dependence,explains_conflict,unmatched_temperature_count,4,local_only_28_30_32_34K
phi1_shape,bridge_local_vs_legacy,tables/representation_bridge_status_v2.csv,4-26K_overlap,12,none,scale_mismatch,explains_conflict,normalized_scale_mismatch,3.52135048817196,normalization_not_transferable
phi1_shape,bridge_local_vs_legacy,tables/representation_bridge_status_v2.csv,4-26K_overlap,12,none,partial_alignment,explains_conflict,pearson_local_vs_legacy_kappa1,0.710073167669095,not_shape_invariant
phi1_shape,bridge_local_vs_legacy,tables/representation_bridge_status_v2.csv,4-26K_overlap,12,none,partial_alignment,explains_conflict,spearman_local_vs_legacy_kappa1,0.902097902097902,rank_only_alignment
parity,phi1_parity_evidence,tables/phi1_evidence_summary.csv,canonical_interpretation,NA,NA,mostly_even_canonical,indirect,phi1_symmetry_statement,qualitative_only,no_dedicated_phi1_even_odd_scalar_table_found
parity,phi1_parity_evidence,tables/phi1_from_pt_shape_test.csv,kernel_test,NA,NA,not_reducible_to_simple_even_kernel,indirect,best_even_fraction_match,0.361848806688281,best_partial_case_still_non_closing
reconstruction_temp,canonical,tables/canonical_reconstruction_metrics.csv,4-30K,14,full_canonical_grid,stable,improves,temperatures_without_improvement,0,all_14_temperatures_improve
reconstruction_temp,local_v1,tables/reconstruction_metrics_v1.csv,4-26K,9,6_current_points,unstable,degrades,temperatures_without_improvement,9,all_intersection_temperatures_fail_to_improve
reconstruction_temp,local_v1,tables/reconstruction_metrics_v1.csv,4-26K,9,6_current_points,unstable,degrades,worst_delta_local_minus_pt_T4,0.244681118004853,largest_degradation
reconstruction_temp,local_v1,tables/reconstruction_metrics_v1.csv,4-26K,9,6_current_points,unstable,degrades,worst_delta_local_minus_pt_T6,0.234289551154191,second_largest_degradation
reconstruction_temp,local_v1,tables/reconstruction_metrics_v1.csv,4-26K,9,6_current_points,unstable,degrades,min_delta_local_minus_pt_T24,0.0159107284572822,still_worse_than_PT
reconstruction_structure,local_v1_vs_observables,tables/reconstruction_metrics_v1.csv_plus_tables/kappa1_from_PT_aligned.csv,4-26K_overlap,9,overlap_only,structured_failure,regime_linked,corr_degradation_vs_S_peak,0.859715959467949,strong
reconstruction_structure,local_v1_vs_observables,tables/reconstruction_metrics_v1.csv_plus_tables/kappa1_from_PT_aligned.csv,4-26K_overlap,9,overlap_only,structured_failure,regime_linked,corr_degradation_vs_width_proxy,0.794169817426772,strong
reconstruction_structure,local_v1_vs_observables,tables/reconstruction_metrics_v1.csv_plus_tables/kappa1_from_PT_aligned.csv,4-26K_overlap,9,overlap_only,structured_failure,regime_linked,corr_degradation_vs_I_peak_proxy,0.894245857031228,strong
reconstruction_structure,phi2_link,tables/phi1_phi2_driver_metrics.csv,4-30K,14,aligned_rows,mode2_linked,regime_linked,corr_observable_error_vs_kappa2,-0.72574965119436,strong_magnitude_link
reconstruction_structure,phi2_link,tables/phi1_phi2_driver_metrics.csv,4-30K,14,aligned_rows,mode2_linked,regime_linked,error_ratio_high_abs_kappa2_over_low,1.91279291838323,high_kappa2_band_has_about_1p9x_error
pipeline_sensitivity,normalization,reports/kappa1_phi1_local_v2_20260329_234420.md,4-34K,16,6_current_points,local_norm_based,sensitive,normalization_method,S_norm_minus_mean_backbone,different_from_canonical_residual_definition
pipeline_sensitivity,T_subset,tables/reconstruction_status_v1.csv,4-26K,9,6_current_points,intersection_only,sensitive,N_T_INTERSECTION,9,canonical_uses_14
pipeline_sensitivity,sampling_density,tables/reconstruction_status_v1.csv,4-26K,9,6_current_points,coarse_grid,sensitive,N_I_INTERSECTION,6,canonical_run_uses_full_grid
pipeline_sensitivity,windowing_and_overlap,tables/representation_bridge_status_v2.csv,4-34K_local_vs_4-26K_overlap,12,partial_overlap,high_T_unmatched,sensitive,UNMATCHED_LOCAL_T_LIST,28_30_32_34,regime_window_mismatch
hypothesis_test,A_pipeline_artifact,multi_source,all,NA,NA,supported,primary,score,0.9,conflict_created_by_mixing_incompatible_protocols_and_grids
hypothesis_test,B_regime_dependent_physics,multi_source,22-34K,NA,NA,supported,secondary,score,0.75,high_T_unmatched_and_kappa2_linked_error_growth
hypothesis_test,C_insufficient_normalization,multi_source,all,NA,NA,supported,primary,score,0.85,scale_mismatch_3p52_and_only_partial_sign_consistency
hypothesis_test,D_hidden_second_mode,multi_source,all,NA,NA,supported,secondary,score,0.7,observable_failure_driven_by_phi2_and_error_vs_kappa2_link
classification,overall,multi_source,all,NA,NA,NA,NA,PHI1_VARIATION_TYPE,STRUCTURAL,cosine_0p696_and_explained_variance_0p417_not_small
