"function_name","path","line","canonical"
"analyzeShapeSubspace","Switching\utils\analyzeShapeSubspace.m","1","yes"
"buildMapRounded","Switching\utils\buildMapRounded.m","1","yes"
"buildShapeMaps","Switching\utils\buildShapeMaps.m","1","yes"
"buildSwitchingMapRounded","Switching\utils\buildSwitchingMapRounded.m","1","yes"
"computeXshapeFromMap","Switching\utils\computeXshapeFromMap.m","1","yes"
"safeCorr","Aging\tests\prl_validation_Jmodel.m","545","no"
"safeCorr","Aging\utils\safeCorr.m","1","no"
"safeCorr","Switching\utils\safeCorr.m","1","yes"
"toNum","Switching\utils\toNum.m","1","yes"
"toNumeric","Switching\utils\toNumeric.m","1","yes"
"toNumericColumn","Switching\utils\toNumericColumn.m","1","yes"
