experiment,sample,temperature,observable,value,units,role,source_run
switching,Amp Temp Dep all_P2P_percent,4,I_peak,35,mA,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,4,S_peak,0.349600045040287,percent,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,4,asym,0.816973380867397,unitless,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,4,halfwidth_diff_norm,0.333333333333333,unitless,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,4,width_I,15,mA,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,6,I_peak,35,mA,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,6,S_peak,0.341950817738385,percent,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,6,asym,0.72495392053985,unitless,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,6,halfwidth_diff_norm,0.333333333333333,unitless,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,6,width_I,15,mA,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,8,I_peak,35,mA,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,8,S_peak,0.311011499245369,percent,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,8,asym,0.583093446526976,unitless,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,8,halfwidth_diff_norm,0.333333333333333,unitless,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,8,width_I,15,mA,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,10,I_peak,35,mA,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,10,S_peak,0.265625424732821,percent,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,10,asym,0.505970145111638,unitless,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,10,halfwidth_diff_norm,0.333333333333333,unitless,coordinate,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,10,width_I,15,mA,observable,run_2026_03_09_222702_alignment_audit
switching,Amp Temp Dep all_P2P_percent,12,I_peak,35,mA,coordinate,run_2026_03_09_222702_alignment_audit
