temperature,I_peak,S_peak,asym,halfwidth_diff_norm,width_I
4,35,0.349600045040287,0.816973380867397,0.333333333333333,15
6,35,0.341950817738385,0.72495392053985,0.333333333333333,15
8,35,0.311011499245369,0.583093446526976,0.333333333333333,15
10,35,0.265625424732821,0.505970145111638,0.333333333333333,15
12,35,0.232986037937288,0.532572454300606,-1,5
14,35,0.192544819951381,0.553530449142556,-1,5
16,35,0.162443432649134,0.499649554266865,-1,5
18,35,0.142095227831458,0.421296726713399,-1,5
20,35,0.118297407736058,0.316520064232563,-1,5
22,30,0.0848252860423066,3.75656233130824,0,10
24,30,0.0930645821294685,1.91457763737692,0,10
26,30,0.0732255508855988,0.709846919036628,-1,5
28,25,0.0809671274875996,1.68164124189188,-1,5
30,20,0.0879097809338481,NaN,NaN,NaN
32,15,0.0695147785421419,NaN,NaN,NaN
34,30,0.00111194952316543,3.08312484040489,NaN,NaN
