"script_path","category","purpose","status","complexity","dependencies_notes"
"_loocv_run.m","unknown","loocv run.m","PARTIAL","SIMPLE",""
"Aging/analysis/aging_clock_ratio_analysis.m","unknown","aging_clock_ratio_analysis","WORKING","MEDIUM","uses readtable"
"Aging/analysis/aging_clock_ratio_lower_support_audit.m","infrastructure","aging_clock_ratio_lower_support_audit","WORKING","MEDIUM","uses readtable"
"Aging/analysis/aging_clock_ratio_temperature_scaling.m","unknown","aging_clock_ratio_temperature_scaling","WORKING","MEDIUM","uses readtable"
"Aging/analysis/aging_clock_ratio_temperature_support_audit.m","infrastructure","aging_clock_ratio_temperature_support_audit","WORKING","MEDIUM","uses readtable"
"Aging/analysis/aging_component_clock_test.m","unknown","aging_component_clock_test","WORKING","MEDIUM",""
"Aging/analysis/aging_fm_timescale_analysis.m","unknown","aging_fm_timescale_analysis","WORKING","MEDIUM","uses readtable"
"Aging/analysis/aging_fm_using_dip_clock.m","unknown","aging_fm_using_dip_clock","WORKING","MEDIUM","uses readtable"
"Aging/analysis/aging_geometry_visualization.m","unknown","aging_geometry_visualization","BROKEN","MEDIUM",""
"Aging/analysis/aging_log_time_scaling_test.m","unknown","aging_log_time_scaling_test","WORKING","MEDIUM",""
"Aging/analysis/aging_observable_identification_audit.m","infrastructure","aging_observable_identification_audit","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"Aging/analysis/aging_observable_mode_correlation.m","unknown","aging_observable_mode_correlation","BROKEN","MEDIUM","uses innerjoin; uses readtable"
"Aging/analysis/aging_shape_collapse_analysis.m","unknown","aging_shape_collapse_analysis","WORKING","MEDIUM","uses readtable"
"Aging/analysis/aging_structured_results_export.m","infrastructure","aging_structured_results_export","WORKING","MEDIUM","expects observables.csv"
"Aging/analysis/aging_structured_results_export_tp12.m","infrastructure","aging_structured_results_export_tp12","WORKING","SIMPLE",""
"Aging/analysis/aging_structured_results_export_tp27.m","infrastructure","aging_structured_results_export_tp27","WORKING","SIMPLE",""
"Aging/analysis/aging_structured_results_export_tp30.m","infrastructure","aging_structured_results_export_tp30","WORKING","SIMPLE",""
"Aging/analysis/aging_time_rescaling_collapse.m","unknown","aging_time_rescaling_collapse","WORKING","MEDIUM","uses readtable"
"Aging/analysis/aging_timescale_extraction.m","unknown","aging_timescale_extraction","WORKING","MEDIUM",""
"Aging/analysis/aging_tri_clock_consistency_test.m","unknown","aging_tri_clock_consistency_test","WORKING","MEDIUM","uses readtable"
"Aging/analysis/aging_tri_cross_temperature_test.m","unknown","aging_tri_cross_temperature_test","WORKING","MEDIUM","uses readtable"
"Aging/analysis/aging_tri_scaling_test.m","unknown","aging_tri_scaling_test","WORKING","MEDIUM","uses readtable"
"Aging/analysis/debugAgingStage4.m","unknown","=========================================================","PARTIAL","MEDIUM",""
"Aging/analysis/estimateRobustBaseline.m","unknown","Wrapper to canonical baseline estimator implementation.","PARTIAL","SIMPLE",""
"Aging/analysis/estimateRobustBaseline_canonical.m","unknown","ESTIMATEROBUSTBASELINE_CANONICAL  Canonical robust baseline estimation for dip metrics","PARTIAL","MEDIUM",""
"Aging/analysis/plotDecompositionExamples.m","infrastructure","=========================================================","PARTIAL","SIMPLE",""
"Aging/analysis/quickSanityCheck.m","unknown","Quick sanity check for robust baseline PR","PARTIAL","SIMPLE",""
"Aging/analysis/runRobustnessCheck.m","unknown","=========================================================","PARTIAL","SIMPLE",""
"analysis/_agent24a_exec.m","unknown","agent 24a exec.m","WORKING","SIMPLE",""
"analysis/activation_coordinate_test.m","unknown","activation_coordinate_test","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/aging_dip_switching_shape_link.m","unknown","aging_dip_switching_shape_link","WORKING","MEDIUM","uses readtable"
"analysis/aging_fm_switching_sector_link.m","unknown","aging_fm_switching_sector_link","WORKING","MEDIUM","uses readtable"
"analysis/aging_switching_clock_bridge.m","unknown","aging_switching_clock_bridge","WORKING","MEDIUM","uses readtable"
"analysis/aging_timescale_bridge.m","unknown","aging_timescale_bridge","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/ax_functional_relation_analysis.m","unknown","ax_functional_relation_analysis","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/ax_scaling_temperature_robustness.m","unknown","ax_scaling_temperature_robustness","WORKING","MEDIUM","uses readtable"
"analysis/barrier_landscape_interpretation_review.m","unknown","barrier_landscape_interpretation_review","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/barrier_landscape_reconstruction.m","unknown","barrier_landscape_reconstruction","BROKEN","MEDIUM","expects observables.csv; uses readtable"
