"artifact_path","CONFIRMED_RUN"
"C:\Dev\matlab-functions\tables\canonical_reconstruction_metrics.csv","NO"
"C:\Dev\matlab-functions\tables\canonical_reconstruction_status.csv","NO"
"C:\Dev\matlab-functions\tables\canonical_reconstruction_summary.csv","NO"
"C:\Dev\matlab-functions\tables\phi1_enforcement_status.csv","NO"
"C:\Dev\matlab-functions\tables\relaxation_canonical_definition.csv","NO"
"C:\Dev\matlab-functions\tables\relaxation_canonical_definition_status.csv","NO"
"C:\Dev\matlab-functions\tables\relaxation_canonical_implementation_check.csv","YES"
"C:\Dev\matlab-functions\tables\relaxation_canonical_implementation_check_status.csv","YES"
"C:\Dev\matlab-functions\tables\relaxation_measurement_canonical_self_audit.csv","YES"
"C:\Dev\matlab-functions\tables\relaxation_measurement_canonical_self_audit_status.csv","YES"
"C:\Dev\matlab-functions\tables\relaxation_measurement_canonical_self_audit_status_v2.csv","NO"
"C:\Dev\matlab-functions\tables\relaxation_measurement_canonical_self_audit_v2.csv","NO"
"C:\Dev\matlab-functions\tables\tmp_relaxation_canonical_self_audit_probe.csv","NO"
"C:\Dev\matlab-functions\reports\canonical_reconstruction.md","NO"
"C:\Dev\matlab-functions\reports\phi1_enforcement.md","NO"
"C:\Dev\matlab-functions\reports\relaxation_canonical_definition.md","NO"
"C:\Dev\matlab-functions\reports\relaxation_canonical_implementation_check.md","YES"
"C:\Dev\matlab-functions\reports\relaxation_measurement_canonical_self_audit.md","YES"
"C:\Dev\matlab-functions\reports\relaxation_measurement_canonical_self_audit_v2.md","NO"
