Tp,tw,source_run_TrackB,raw_signed_fm_value,applied_global_sign_convention,FM_signed_direct_TrackB_sign_aligned,sign_aligned_sign,sign_aligned_finite,sign_aligned_contract_valid,sign_alignment_note
14,3,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,9.80975321930083e-07,left_minus_right,9.80975321930083e-07,POS,YES,YES,Global convention applied; no per-row flip.
14,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,1.82340905309218e-06,left_minus_right,1.82340905309218e-06,POS,YES,YES,Global convention applied; no per-row flip.
14,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,-6.40037056358776e-07,left_minus_right,-6.40037056358776e-07,NEG,YES,YES,Global convention applied; no per-row flip.
14,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,2.04702904491693e-06,left_minus_right,2.04702904491693e-06,POS,YES,YES,Global convention applied; no per-row flip.
18,3,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,5.93349215287068e-07,left_minus_right,5.93349215287068e-07,POS,YES,YES,Global convention applied; no per-row flip.
18,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,1.78979578802416e-07,left_minus_right,1.78979578802416e-07,POS,YES,YES,Global convention applied; no per-row flip.
18,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,-2.13307781340364e-06,left_minus_right,-2.13307781340364e-06,NEG,YES,YES,Global convention applied; no per-row flip.
18,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,-8.77517129158269e-08,left_minus_right,-8.77517129158269e-08,NEG,YES,YES,Global convention applied; no per-row flip.
22,3,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,1.94428480485198e-07,left_minus_right,1.94428480485198e-07,POS,YES,YES,Global convention applied; no per-row flip.
22,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,3.47345541082714e-07,left_minus_right,3.47345541082714e-07,POS,YES,YES,Global convention applied; no per-row flip.
22,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,7.08380502820365e-08,left_minus_right,7.08380502820365e-08,POS,YES,YES,Global convention applied; no per-row flip.
22,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,1.27269122876671e-06,left_minus_right,1.27269122876671e-06,POS,YES,YES,Global convention applied; no per-row flip.
26,3,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,6.01447161069129e-07,left_minus_right,6.01447161069129e-07,POS,YES,YES,Global convention applied; no per-row flip.
26,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,7.32640312217379e-07,left_minus_right,7.32640312217379e-07,POS,YES,YES,Global convention applied; no per-row flip.
26,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,8.86181574951173e-07,left_minus_right,8.86181574951173e-07,POS,YES,YES,Global convention applied; no per-row flip.
26,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,2.07427201171414e-06,left_minus_right,2.07427201171414e-06,POS,YES,YES,Global convention applied; no per-row flip.
30,3,,NaN,left_minus_right,NaN,NA,NO,NO,Source signed value is non-finite.
30,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,8.44001163675723e-07,left_minus_right,8.44001163675723e-07,POS,YES,YES,Global convention applied; no per-row flip.
30,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,9.80804986271369e-07,left_minus_right,9.80804986271369e-07,POS,YES,YES,Global convention applied; no per-row flip.
30,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,2.0014423840081e-06,left_minus_right,2.0014423840081e-06,POS,YES,YES,Global convention applied; no per-row flip.
34,3,,NaN,left_minus_right,NaN,NA,NO,NO,Source signed value is non-finite.
34,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,8.58403730646882e-08,left_minus_right,8.58403730646882e-08,POS,YES,YES,Global convention applied; no per-row flip.
34,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,-4.6750098273508e-07,left_minus_right,-4.6750098273508e-07,NEG,YES,YES,Global convention applied; no per-row flip.
34,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,2.59975231893718e-07,left_minus_right,2.59975231893718e-07,POS,YES,YES,Global convention applied; no per-row flip.
