"Tp","tw","Dip_depth_direct_TrackB","source_run_TrackB","finite_dip_depth","F3_domain_eligible","candidate_namespace"
"14","3","6.20548853847195E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec","YES","YES","tau_AFM_physical_canon_replay"
"14","36","5.24014705707366E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec","YES","YES","tau_AFM_physical_canon_replay"
"14","360","-8.9536837772524E-08","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min","YES","YES","tau_AFM_physical_canon_replay"
"14","3600","1.95420344888055E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min","YES","YES","tau_AFM_physical_canon_replay"
"18","3","4.77448542053708E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec","YES","YES","tau_AFM_physical_canon_replay"
"18","36","5.32426690783185E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec","YES","YES","tau_AFM_physical_canon_replay"
"18","360","2.35916177149297E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min","YES","YES","tau_AFM_physical_canon_replay"
"18","3600","7.45154109451268E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min","YES","YES","tau_AFM_physical_canon_replay"
"22","3","6.20564085409436E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec","YES","YES","tau_AFM_physical_canon_replay"
"22","36","4.83865039296096E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec","YES","YES","tau_AFM_physical_canon_replay"
"22","360","2.79803042621795E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min","YES","YES","tau_AFM_physical_canon_replay"
"22","3600","8.86583711594106E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min","YES","YES","tau_AFM_physical_canon_replay"
"26","3","7.94121124071608E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec","YES","YES","tau_AFM_physical_canon_replay"
"26","36","5.19789946401978E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec","YES","YES","tau_AFM_physical_canon_replay"
"26","360","7.89415049547935E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min","YES","YES","tau_AFM_physical_canon_replay"
"26","3600","1.58953335101602E-06","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min","YES","YES","tau_AFM_physical_canon_replay"
"30","36","9.87530105806022E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec","YES","YES","tau_AFM_physical_canon_replay"
"30","360","1.2628102068089E-06","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min","YES","YES","tau_AFM_physical_canon_replay"
"30","3600","1.52008292659831E-06","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min","YES","YES","tau_AFM_physical_canon_replay"
"34","36","3.18578938210271E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec","YES","YES","tau_AFM_physical_canon_replay"
"34","360","1.17648694772181E-06","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min","YES","YES","tau_AFM_physical_canon_replay"
"34","3600","8.10297930946692E-07","aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min","YES","YES","tau_AFM_physical_canon_replay"
