field,value
legacy_26K_dip_tau_consensus_seconds,9.39314322655396
legacy_26K_dip_tau_logistic_half_seconds,9.39314322655396
legacy_26K_dip_tau_stretched_half_seconds,2.16172439218332
legacy_26K_dip_tau_half_range_seconds,10.3923048454133
legacy_26K_dip_consensus_methods,"half_range, logistic_log_tw, stretched_exp"
legacy_26K_dip_method_count,3
legacy_26K_dip_method_spread_decades,0.68191155472371
legacy_26K_fm_tau_consensus_seconds,863.920752533678
legacy_26K_fm_consensus_methods,half_range_primary
legacy_26K_fm_method_count,1
legacy_26K_fm_method_spread_decades,18.0029149769833
canonical_26K_AFM_selected_model,single_exponential_approach_primary
canonical_26K_AFM_tau_seconds,8000
canonical_26K_AFM_r2_primary,0.936029609480968
canonical_26K_AFM_rmse_primary,1.01272138577919e-07
canonical_26K_FM_selected_model,single_exponential_approach_primary
canonical_26K_FM_tau_seconds,2674.06849631512
canonical_26K_FM_r2_primary,0.995748480175219
mismatch_ABCD_code,A_DIP_PREFIT_SHAPE_B_FM_FIT_PIPELINE
mismatch_note,"Legacy dip: consensus tau_effective_seconds blends logistic_log_tw, stretched_exp, half_range (tau_vs_Tp row). Canonical AFM/FM: single_exponential_approach_primary selection in model_fits + selected_values."
