verdict_key,verdict_value
F6J_REPLAY_COMPLETED,YES
LEGACY_OBSERVABLE_BUILDER_FOUND,YES
CURRENT_CANONICAL_INPUTS_FOUND,YES
EXACT_OLD_OBSERVABLE_REPLAY_POSSIBLE,PARTIAL
APPROXIMATE_OLD_OBSERVABLE_REPLAY_PERFORMED,YES
OLDDEF_CURRENT_OBSERVABLE_DATASET_CREATED,YES
OLD_TAU_LAYER_REPLAYED_ON_CURRENT_OBSERVABLES,YES
OLD_R_REPRODUCED_ON_CURRENT_RUNS,PARTIAL
OLD_26K_SPIKE_REPRODUCED_ON_CURRENT_RUNS,NO
OLD_VALUES_USED_AS_CANONICAL_EVIDENCE,NO
NEW_METHOD_SEARCH_PERFORMED,NO
R_VS_X_ANALYSIS_PERFORMED,NO
MECHANISM_VALIDATION_PERFORMED,NO
READY_FOR_DIRECT_NON_RMS_METHOD_SEARCH,YES
