Tp,tw,legacy_source_run,legacy_structured_source_run,current_source_run_dir,current_sample_dataset,Dip_legacy,Dip_current,rel_diff_dip,FM_legacy,FM_current,rel_diff_fm,legacy_FM_step_mag_signed,current_FM_step_mag_signed,FM_step_sign_flip,same_physical_source_trace,mismatch_class
6,3,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,MG119|MG119_3sec,3.27732274143177e-07,4.92339914189699e-07,0.502262526560352,NaN,NaN,NaN,NaN,NaN,NO,NO,unknown
6,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,MG119|MG119_36sec,7.99508634517402e-07,1.35225332991237e-07,-0.830864449546738,NaN,NaN,NaN,NaN,NaN,NO,NO,unknown
6,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,MG119|MG119_6min,9.23676895617443e-07,8.86883171456342e-08,-0.903983397694115,NaN,NaN,NaN,NaN,NaN,NO,NO,unknown
6,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_223913_tp_6_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083534_tp_6_structured_export,MG119|MG119_60min,3.92977295782975e-07,4.03040115295474e-07,0.0256066180425249,NaN,NaN,NaN,NaN,NaN,NO,NO,unknown
10,3,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,MG119|MG119_3sec,1.42556527773531e-08,9.59000660100232e-07,66.2716062237238,NaN,NaN,NaN,NaN,NaN,NO,NO,unknown
10,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,MG119|MG119_36sec,1.03585720097351e-06,3.97649792345436e-08,-0.961611524062224,NaN,NaN,NaN,NaN,NaN,NO,NO,unknown
10,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,MG119|MG119_6min,1.16197537325971e-06,-2.4431648820391e-08,-1.02102596094774,NaN,NaN,NaN,NaN,NaN,NO,NO,unknown
10,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_224229_tp_10_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083759_tp_10_structured_export,MG119|MG119_60min,2.83966127861751e-07,4.58512757847224e-07,0.614674120817857,NaN,NaN,NaN,NaN,NaN,NO,NO,unknown
14,3,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,MG119|MG119_3sec,1.68514898616842e-07,6.20548853847195e-07,2.68245691592028,9.80975321930083e-07,9.80975321930083e-07,0,-9.80975321930083e-07,9.80975321930083e-07,YES,NO,different_source_trace
14,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,MG119|MG119_36sec,6.20484079036192e-07,5.24014705707366e-07,-0.155474373296852,1.82340905309218e-06,1.82340905309218e-06,0,-1.82340905309218e-06,1.82340905309218e-06,YES,NO,different_source_trace
14,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,MG119|MG119_6min,1.24173149370819e-06,-8.9536837772524e-08,-1.07210644026201,6.40037056358776e-07,6.40037056358776e-07,0,6.40037056358776e-07,-6.40037056358776e-07,YES,NO,different_source_trace
14,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,MG119|MG119_60min,1.0978873658713e-06,1.95420344888055e-07,-0.822003284705835,2.04702904491693e-06,2.04702904491693e-06,0,-2.04702904491693e-06,2.04702904491693e-06,YES,NO,different_source_trace
