verdict_key,verdict_value
F6L2_30K_TAU_NAN_GATE_AUDIT_COMPLETED,YES
PHASE_WINDOW_RULE_APPLIED,YES
TP34_CLASSIFIED_PHASE_EXCLUDED_DIAGNOSTIC_ONLY,YES
OLD_30K_TAU_NAN_SOURCE_TRACED,YES
OLD_30K_TAU_NAN_GATE_RECOVERED,YES
METHOD_LEVEL_30K_ESTIMATES_COMPARED,YES
TP30_TAU_DIP_NAN_REPRODUCED,YES
IN_PHASE_OLD_TAU_DIP_REPRODUCED_AFTER_GATE,YES
IN_PHASE_OLD_R_RATIO_REPRODUCED_AFTER_GATE,YES
ALL_ROW_PARITY_BLOCKED_ONLY_BY_PHASE_EXCLUDED_ROWS,YES
ARCHIVED_LINEAGE_REPLAY_FLAGGED,YES
CANONICAL_PHYSICS_EVIDENCE,NO
CURRENT_CANONICAL_REPLAY,NO
METHOD_SEARCH_PERFORMED,NO
R_VS_X_ANALYSIS_PERFORMED,NO
MECHANISM_VALIDATION_PERFORMED,NO
READY_FOR_F6M_SOURCE_SELECTION_BRIDGE,YES
READY_FOR_DIRECT_NON_RMS_METHOD_SEARCH,NO
