Tp,tw,Dip_depth_old,Dip_depth_replay,Dip_abs_diff,Dip_rel_diff,Dip_log10_ratio,FM_abs_old,FM_abs_replay,FM_abs_diff,FM_rel_diff,FM_log10_ratio,exact_or_tolerance_match,dip_match,fm_match,mismatch_reason,source_run_archived
6,3,3.27732274143177e-07,3.27732274143177e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,run_2026_03_10_223913_tp_6_structured_export
6,36,7.99508634517402e-07,7.99508634517402e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,run_2026_03_10_223913_tp_6_structured_export
6,360,9.23676895617443e-07,9.23676895617443e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,run_2026_03_10_223913_tp_6_structured_export
6,3600,3.92977295782975e-07,3.92977295782975e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,run_2026_03_10_223913_tp_6_structured_export
10,3,1.42556527773531e-08,1.42556527773531e-08,0,0,0,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,run_2026_03_10_224229_tp_10_structured_export
10,36,1.03585720097351e-06,1.03585720097351e-06,0,0,0,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,run_2026_03_10_224229_tp_10_structured_export
10,360,1.16197537325971e-06,1.16197537325971e-06,0,0,0,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,run_2026_03_10_224229_tp_10_structured_export
10,3600,2.83966127861751e-07,2.83966127861751e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,run_2026_03_10_224229_tp_10_structured_export
14,3,1.68514898616842e-07,1.68514898616842e-07,0,0,0,9.80975321930083e-07,9.80975321930083e-07,0,0,0,YES,YES,YES,match,run_2026_03_10_225135_tp_14_structured_export
14,36,6.20484079036192e-07,6.20484079036192e-07,0,0,0,1.82340905309218e-06,1.82340905309218e-06,0,0,0,YES,YES,YES,match,run_2026_03_10_225135_tp_14_structured_export
14,360,1.24173149370819e-06,1.24173149370819e-06,0,0,0,6.40037056358776e-07,6.40037056358776e-07,0,0,0,YES,YES,YES,match,run_2026_03_10_225135_tp_14_structured_export
14,3600,1.0978873658713e-06,1.0978873658713e-06,0,0,0,2.04702904491693e-06,2.04702904491693e-06,0,0,0,YES,YES,YES,match,run_2026_03_10_225135_tp_14_structured_export
18,3,5.95766185946248e-07,5.95766185946248e-07,0,0,0,5.93349215287068e-07,5.93349215287068e-07,0,0,0,YES,YES,YES,match,run_2026_03_10_225902_tp_18_structured_export
18,36,7.12536133636716e-07,7.12536133636716e-07,0,0,0,1.78979578802416e-07,1.78979578802416e-07,0,0,0,YES,YES,YES,match,run_2026_03_10_225902_tp_18_structured_export
