verdict_key,verdict_value
F6L_ARCHIVED_PARITY_REPLAY_COMPLETED,YES
ARCHIVED_SOURCE_RUNS_INVENTORIED,YES
ARCHIVED_LINEAGE_REPLAY_DATASET_CREATED,YES
OLD_FIVE_COLUMN_DATASET_REPRODUCED,YES
DIP_DEPTH_PARITY_PASSED,YES
FM_ABS_PARITY_PASSED,YES
TAU_LAYER_PARITY_REPLAYED,YES
OLD_TAU_DIP_REPRODUCED,NO
OLD_TAU_FM_REPRODUCED,YES
OLD_R_RATIO_REPRODUCED,NO
OLD_26K_FAST_DIP_REPRODUCED,YES
OLD_26K_HIGH_R_REPRODUCED,YES
ARCHIVED_LINEAGE_REPLAY_FLAGGED,YES
CANONICAL_PHYSICS_EVIDENCE,NO
CURRENT_CANONICAL_REPLAY,NO
METHOD_SEARCH_PERFORMED,NO
R_VS_X_ANALYSIS_PERFORMED,NO
MECHANISM_VALIDATION_PERFORMED,NO
READY_FOR_F6M_SOURCE_SELECTION_BRIDGE,YES
READY_FOR_DIRECT_NON_RMS_METHOD_SEARCH,NO
