verdict_key,verdict_value
F6M_SOURCE_SELECTION_BRIDGE_COMPLETED,YES
ARCHIVED_CURRENT_SOURCE_MAP_CREATED,YES
DIVERGENCE_LAYER_CLASSIFIED,YES
PRIMARY_DIVERGENCE_LAYER,SOURCE_TRACE_SELECTION_CHANGED
TP26_BRIDGE_DIAGNOSIS_COMPLETED,YES
CODE_CONFIG_BRIDGE_AUDIT_COMPLETED,YES
MIXED_REPLAY_AVAILABILITY_ASSESSED,YES
ARCHIVED_FAST_DIP_SOURCE_IDENTIFIED,NO
CURRENT_SLOW_DIP_SOURCE_IDENTIFIED,YES
SOURCE_TRACE_SELECTION_CHANGED,YES
STAGE4_DECOMPOSITION_CHANGED,YES
STRUCTURED_EXPORT_CODE_CHANGED,YES
FILTERING_OR_FINITE_FM_CHANGED,YES
SAMPLE_DATASET_SELECTION_CHANGED,NO
READY_FOR_F6N_ARCHIVED_SOURCE_COMPATIBILITY_REPLAY,YES
READY_FOR_F6N_CURRENT_SOURCE_DIP_REPAIR_AUDIT,YES
READY_FOR_DIRECT_NON_RMS_METHOD_SEARCH,NO
METHOD_SEARCH_PERFORMED,NO
R_VS_X_ANALYSIS_PERFORMED,NO
MECHANISM_VALIDATION_PERFORMED,NO
RELAXATION_TOUCHED,NO
SWITCHING_TOUCHED,NO
