verdict_key,verdict_value
F6N_DIRECT_ARCHIVED_SOURCE_CHECK_COMPLETED,YES
ARCHIVED_26K_SOURCE_READ_SUCCESSFULLY,YES
ARCHIVED_SOURCE_MATCHES_F6L_REPLAY,YES
ARCHIVED_SOURCE_DIRECTLY_CONTAINS_FAST_DIP,YES
CURRENT_SOURCE_CONTAINS_SLOW_DIP,YES
FM_STABLE_ARCHIVED_VS_CURRENT,YES
PRIMARY_CAUSAL_NARROWING,ARCHIVED_SOURCE_DIRECTLY_CONTAINS_FAST_DIP
READY_FOR_NEXT_STEP,YES
READY_FOR_DIRECT_NON_RMS_METHOD_SEARCH,NO
METHOD_SEARCH_PERFORMED,NO
R_VS_X_ANALYSIS_PERFORMED,NO
RELAXATION_TOUCHED,NO
SWITCHING_TOUCHED,NO
