verdict_key,value
F7B0_AGING_RECONSTRUCTION_PLAN_COMPLETED,YES
AGING_SPECIFIC_RECONSTRUCTION_PLAN_WRITTEN,YES
LEGACY_REPLAY_RECONSTRUCTION_CANONICAL_CLAIM_SEPARATED,YES
OLD_ANALYSIS_INVENTORY_SCOPE_DEFINED,YES
OBSERVABLE_IDENTITY_GATES_DEFINED,YES
SIDECAR_PREREQUISITES_DEFINED,YES
TAU_R_RECONSTRUCTION_PLAN_DEFINED,YES
CANONICAL_PROMOTION_CRITERIA_DEFINED,YES
FORBIDDEN_SHORTCUTS_DEFINED,YES
EXECUTION_ORDER_DEFINED,YES
STOP_CONDITIONS_DEFINED,YES
NO_CODE_MODIFIED,YES
NO_ANALYSIS_LOGIC_MODIFIED,YES
NO_WRITERS_PATCHED,YES
NO_MODEL_ANALYSIS_RUN,YES
NO_RENAME_PERFORMED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
RELAXATION_TOUCHED,NO
SWITCHING_TOUCHED,NO
MT_TOUCHED,NO
VISUAL_REVIEW_REQUIRED_DURING_RECONSTRUCTION,YES
PNG_REVIEW_FIGURES_REQUIRED,YES
FIG_REVIEW_FIGURES_REQUIRED,YES
FIGURES_DIAGNOSTIC_UNTIL_PROMOTED,YES
NO_DATA_LOGIC_CHANGE_FOR_FIGURES,YES
EXISTING_VISUALIZATION_RULES_REUSED,YES
F7B0_COMPANION_ARTIFACTS_REFRESHED_AFTER_VIS_UPDATE,YES
