verdict_key,value
F7B2_REFRESH_COMPLETED,YES
F7B0_MAIN_DOC_USED_AS_SOURCE_OF_TRUTH,YES
F7B0_REPORT_REFRESHED,YES
F7B0_REPORT_NO_LONGER_STALE,YES
F7B0_EXECUTION_ORDER_VIS_CHECKPOINT_ADDED,YES
F7B0_STOP_CONDITION_VIS_SHORTCUT_ADDED,YES
F7B0_STATUS_VIS_VERDICTS_ADDED,YES
F7B0_SCOPE_CSV_CHANGED,NO
F7B0_TARGET_CLASSES_CSV_CHANGED,NO
NO_MAIN_PLAN_DOC_CHANGE_NEEDED,YES
NO_CODE_MODIFIED,YES
NO_WRITERS_MODIFIED,YES
NO_MODEL_ANALYSIS_RUN,YES
NO_TAU_R_RECONSTRUCTION_RUN,YES
NO_SCIENTIFIC_OUTPUT_REGENERATED,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
