verdict_key,value
F7C_STRUCTURED_EXPORT_SIDECAR_PATCH_COMPLETED,YES
WO_STRUCTURED_EXPORT_IDENTIFIED,YES
WO_STRUCTURED_EXPORT_PATCHED,YES
F7A_HELPER_USED,YES
NUMERIC_OUTPUTS_UNCHANGED,YES
NO_OBSERVABLE_RENAME_PERFORMED,YES
NO_FORMULA_CHANGE,YES
NO_PREPROCESSING_CHANGE,YES
NO_ROW_FILTER_CHANGE,YES
NO_MERGE_KEY_CHANGE,YES
PLAIN_DIP_DEPTH_FLAGGED_UNSAFE_IF_PRESENT,YES
STRUCTURED_EXPORT_SIDECARS_WRITTEN,YES
STRUCTURED_EXPORT_SIDECARS_VALIDATE,YES
NO_TAU_EXTRACTION_PATCHED,YES
NO_CLOCK_RATIO_PATCHED,YES
NO_CONSOLIDATION_PATCHED,YES
NO_MODEL_ANALYSIS_RUN,YES
NO_CANONICAL_PROMOTION,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
