verdict_key,value
F7D_FULL_STRUCTURED_EXPORT_RUN_COMPLETED,YES
F7D_REAL_OUTPUTS_IDENTIFIED,YES
F7D_REAL_OUTPUT_SIDECARS_WRITTEN,YES
F7D_AGGREGATE_MANIFEST_WRITTEN,YES
F7D_AGGREGATE_ISSUES_WRITTEN,YES
F7D_WRITER_FAMILY_ID_VERIFIED,YES
F7D_DIAGNOSTIC_ONLY_VERIFIED,YES
F7D_NOT_CANONICAL_VERIFIED,YES
F7D_MODEL_USE_BLOCKED_VERIFIED,YES
F7D_CANONICAL_USE_BLOCKED_VERIFIED,YES
F7D_PLAIN_DIP_DEPTH_WARNING_VERIFIED_IF_PRESENT,YES
F7D_NO_FALSE_TAU_R_POPULATION,YES
F7D_NO_MODEL_READY_CLAIM,YES
F7D_NO_CANONICAL_PROMOTION,YES
F7D_NO_TAU_EXTRACTION_RUN,YES
F7D_NO_CLOCK_RATIO_RUN,YES
F7D_NO_CONSOLIDATION_PATCH,YES
F7D_NO_MODEL_ANALYSIS_RUN,YES
F7D_NO_SWITCHING_TOUCHED,YES
F7D_NO_RELAXATION_TOUCHED,YES
F7D_NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
