artifact_path,artifact_exists,lineage_csv_exists,lineage_json_exists,manifest_exists,writer_family_id,validation_mode,model_readiness,canonical_status,model_use_allowed,canonical_use_allowed,plain_dip_depth_warning_present,tau_or_R_flag,verification_status,notes
C:\Dev\matlab-functions\results\aging\runs\run_2026_04_30_170602_tp_22_structured_export\observables.csv,YES,YES,YES,YES,WO_STRUCTURED_EXPORT,audit_only,diagnostic_only,not_canonical,no,no,YES,NOT_APPLICABLE,PASS,plain Dip_depth unresolved warning present
C:\Dev\matlab-functions\results\aging\runs\run_2026_04_30_170602_tp_22_structured_export\tables\observable_matrix.csv,YES,YES,YES,YES,WO_STRUCTURED_EXPORT,audit_only,diagnostic_only,not_canonical,no,no,YES,NOT_APPLICABLE,PASS,plain Dip_depth unresolved warning present
C:\Dev\matlab-functions\results\aging\runs\run_2026_04_30_170602_tp_22_structured_export\tables\DeltaM_map.csv,YES,YES,YES,YES,WO_STRUCTURED_EXPORT,audit_only,diagnostic_only,not_canonical,no,no,NO,NOT_APPLICABLE,PASS,no Dip_depth unresolved warning for this artifact
C:\Dev\matlab-functions\results\aging\runs\run_2026_04_30_170602_tp_22_structured_export\tables\T_axis.csv,YES,YES,YES,YES,WO_STRUCTURED_EXPORT,audit_only,diagnostic_only,not_canonical,no,no,NO,NOT_APPLICABLE,PASS,no Dip_depth unresolved warning for this artifact
C:\Dev\matlab-functions\results\aging\runs\run_2026_04_30_170602_tp_22_structured_export\tables\tw_axis.csv,YES,YES,YES,YES,WO_STRUCTURED_EXPORT,audit_only,diagnostic_only,not_canonical,no,no,NO,NOT_APPLICABLE,PASS,no Dip_depth unresolved warning for this artifact
C:\Dev\matlab-functions\results\aging\runs\run_2026_04_30_170602_tp_22_structured_export\tables\svd_singular_values.csv,YES,YES,YES,YES,WO_STRUCTURED_EXPORT,audit_only,diagnostic_only,not_canonical,no,no,NO,NOT_APPLICABLE,PASS,no Dip_depth unresolved warning for this artifact
C:\Dev\matlab-functions\results\aging\runs\run_2026_04_30_170602_tp_22_structured_export\tables\svd_U.csv,YES,YES,YES,YES,WO_STRUCTURED_EXPORT,audit_only,diagnostic_only,not_canonical,no,no,NO,NOT_APPLICABLE,PASS,no Dip_depth unresolved warning for this artifact
C:\Dev\matlab-functions\results\aging\runs\run_2026_04_30_170602_tp_22_structured_export\tables\svd_V.csv,YES,YES,YES,YES,WO_STRUCTURED_EXPORT,audit_only,diagnostic_only,not_canonical,no,no,NO,NOT_APPLICABLE,PASS,no Dip_depth unresolved warning for this artifact
C:\Dev\matlab-functions\results\aging\runs\run_2026_04_30_170602_tp_22_structured_export\tables\svd_mode_coefficients.csv,YES,YES,YES,YES,WO_STRUCTURED_EXPORT,audit_only,diagnostic_only,not_canonical,no,no,NO,NOT_APPLICABLE,PASS,no Dip_depth unresolved warning for this artifact
C:\Dev\matlab-functions\results\aging\runs\run_2026_04_30_170602_tp_22_structured_export\tables\observable_mode_correlations.csv,YES,YES,YES,YES,WO_STRUCTURED_EXPORT,audit_only,diagnostic_only,not_canonical,no,no,NO,NOT_APPLICABLE,PASS,no Dip_depth unresolved warning for this artifact
