key,value
F7G_PATCH_COMPLETE,YES
F7G_APPEND_ONLY_METADATA_ADDED,YES
F7G_LEGACY_COLUMNS_PRESERVED,YES
F7G_NO_BREAKING_RENAMES,YES
F7G_DIP_TAU_METADATA_ADDED,YES
F7G_FM_TAU_METADATA_ADDED,YES
F7G_CLOCK_RATIO_METADATA_ADDED,YES
F7G_RESCALING_TAU_METADATA_ASSESSED,YES
F7G_REPLAY_PROXY_METADATA_ASSESSED,PENDING_NOT_PATCHED
F7G_VALIDATION_PERFORMED,YES
F7G_NUMERIC_FORMULAS_UNCHANGED,YES
NO_MODEL_ANALYSIS,YES
NO_OLD_ANALYSIS_REPLAY,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_BROAD_REFACTOR,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
