metadata_column,expected_pattern_or_value_notes,run_A_present,run_B_present,run_A_row0_value_excerpt,run_B_row0_value_excerpt,validation_note
writer_family_id,WF_TAU_DIP_CURVEFIT,YES,YES,WF_TAU_DIP_CURVEFIT,WF_TAU_DIP_CURVEFIT,Exact_match_both
tau_or_R_flag,TAU_uppercase_in_emit,YES,YES,TAU,TAU,matches_writer_contract
tau_domain,DIP_MEMORY_CURVEFIT_or_equivalent,YES,YES,DIP_MEMORY_CURVEFIT,DIP_MEMORY_CURVEFIT,Dip_depth_memory_curve_domain
tau_input_observable_identities,JSON_string_Dip_depth_column_ref,YES,YES,"{""Dip_depth"":""consolidated_aging_observable_dataset_column""}","{""Dip_depth"":""consolidated_aging_observable_dataset_column""}",Identical_strings
tau_input_observable_family,Dip_depth_memory_curve,YES,YES,Dip_depth_memory_curve,Dip_depth_memory_curve,Match
source_writer_script,Aging/analysis/aging_timescale_extraction.m,YES,YES,Aging/analysis/aging_timescale_extraction.m,Aging/analysis/aging_timescale_extraction.m,Match
source_artifact_basename,tau_vs_Tp.csv,YES,YES,tau_vs_Tp.csv,tau_vs_Tp.csv,Match
source_artifact_path,Absolute_path_into_run_dir_tables,YES,YES,contains_run_2026_05_01_231047,contains_run_2026_05_01_231444,Distinct_run_roots_expected_non_colliding
canonical_status,non_canonical_pending_lineage,YES,YES,non_canonical_pending_lineage,non_canonical_pending_lineage,Match
model_use_allowed,NO_UNLESS_LINEAGE_RESOLVED,YES,YES,NO_UNLESS_LINEAGE_RESOLVED,NO_UNLESS_LINEAGE_RESOLVED,Conservative_encoding
semantic_status,tau_effective_legacy_alias_semantic,YES,YES,tau_effective_seconds_is_legacy_alias_DIP_CURVEFIT,tau_effective_seconds_is_legacy_alias_DIP_CURVEFIT,Match
lineage_status,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,YES,YES,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,Match
