key,value
F7H_RESUME_DIP_AUDIT_COMPLETE,YES
F7H_RESUME_DIP_NO_SINGLE_CANONICAL_TRUTH_SELECTED,YES
F7H_RESUME_DIP_RUN_A_ATTEMPTED,YES
F7H_RESUME_DIP_RUN_B_ATTEMPTED,YES
F7H_RESUME_DIP_RUN_A_SUCCEEDED,YES
F7H_RESUME_DIP_RUN_B_SUCCEEDED,YES
F7H_RESUME_DIP_RUN_A_TAU_CSV_EMITTED,YES
F7H_RESUME_DIP_RUN_B_TAU_CSV_EMITTED,YES
F7H_RESUME_DIP_RUN_A_REQUIRED_METADATA_PRESENT,YES
F7H_RESUME_DIP_RUN_B_REQUIRED_METADATA_PRESENT,YES
F7H_RESUME_DIP_RUN_A_METADATA_VALUES_VALID,YES
F7H_RESUME_DIP_RUN_B_METADATA_VALUES_VALID,YES
F7H_RESUME_DIP_BRANCH_COMPARISON_METADATA_ONLY,YES
F7H_RESUME_DIP_SAFE_TO_USE_FOR_METADATA_VERIFICATION,YES
F7H_RESUME_DIP_SAFE_FOR_PHYSICS_CLAIMS,NO_PENDING_LINEAGE_AND_NON_CANONICAL_FLAGS
F7H_RESUME_DIP_NEXT_SAFE_STEP,OPTIONAL_COMMIT_F7H_RESUME_ARTIFACTS_OR_EXTEND_FM_TAU_WITH_CFG
NO_CODE_EDITED,YES
NO_DATASET_REBUILD,YES
NO_FM_WRITER_RUN,YES
NO_CLOCK_RATIO_WRITER_RUN,YES
NO_PHYSICS_FITTING,YES
NO_OLD_ANALYSIS_REPLAY,YES
NO_MODEL_ANALYSIS,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PUSH_PERFORMED,YES
