key,value
F7L_AUDIT_COMPLETE,YES
F7L_NO_SINGLE_CANONICAL_TRUTH_SELECTED,YES
F7L_ROUTER_DOC_SUFFICIENT_FOR_BRANCH_SELECTION,YES_WITH_OPTIONAL_F7H_CHECKLIST_ROW
F7L_F7H_RESUME_GATE_ASSESSED,YES
F7L_SAFE_TO_RESUME_F7H_CURRENT_22ROW_WITH_POINTER,YES
F7L_SAFE_TO_RESUME_F7H_ARCHIVAL_30ROW_WITH_POINTER,YES
F7L_SAFE_TO_COMPARE_BOTH_BRANCHES_IN_F7H,YES_METADATA_ONLY_TWO_SEPARATE_RUNS
F7L_BRANCH_POINTER_LABELS_DEFINED,YES
F7L_CODE_DEFAULT_RISK_ASSESSED,YES_HISTORICAL_RESULTS_PATH_SILENT_UNTIL_ASSERT_FM_WRITER_ALSO_CHAIN_DEFAULTS
F7L_CONFIG_IMPLEMENTATION_REQUIRED_BEFORE_F7H,PARTIAL_NO_UNIFIED_REGISTRY_REQUIRED_SESSION_LABELS_SUFFICE_FM_CHAIN_NEEDS_EXPLICIT_CFG_IF_RUN
F7L_MINIMAL_F7H_RERUN_PLAN_DEFINED,YES_IN_REPORT_SECTION
F7L_NEXT_SAFE_STEP,RESUME_F7H_METADATA_VERIFICATION_WITH_SESSION_ENV_AND_BRANCH_LABELS_TWO_PASS_OPTIONAL
NO_CODE_EDITED,YES
NO_MATLAB_RUN,YES
NO_DATASET_REBUILD,YES
NO_TAU_R_WRITER_RUN,YES
NO_PHYSICS_FITTING,YES
NO_OLD_ANALYSIS_REPLAY,YES
NO_MODEL_ANALYSIS,YES
NO_NEW_EXTRACTION_METHODS,YES
NO_CONFIG_IMPLEMENTATION,YES
NO_DEFAULT_PATH_CHANGE,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PUSH_PERFORMED,YES
