key,value
F7M_CLOSURE_COMPLETE,YES
F7M_DIP_TAU_METADATA_STATE_CLOSED,YES
F7M_SCOPE_METADATA_ONLY,YES
F7M_NO_SINGLE_CANONICAL_TRUTH_SELECTED,YES
F7M_22ROW_BRANCH_VERIFIED,YES
F7M_30ROW_BRANCH_VERIFIED,YES
F7M_TAU_VS_TP_REAL_OUTPUT_VERIFIED,YES
F7M_REQUIRED_METADATA_COLUMNS_PRESENT,YES
F7M_METADATA_VALUES_CONSERVATIVE_AND_VALID,YES
F7M_F7H_DIP_BLOCKER_RESOLVED,YES
F7M_SAFE_FOR_METADATA_VERIFICATION,YES
F7M_SAFE_FOR_PHYSICS_CLAIMS,NO_PENDING_LINEAGE_AND_NON_CANONICAL_FLAGS
F7M_FM_TAU_REMAINS_OPEN,YES
F7M_CLOCK_RATIO_REMAINS_OPEN,YES
F7M_LINEAGE_FOR_MODEL_USE_REMAINS_OPEN,YES
F7M_NEXT_SAFE_STEP_RECORDED,YES
NO_CODE_EDITED,YES
NO_MATLAB_RUN,YES
NO_DATASET_REBUILD,YES
NO_TAU_R_WRITER_RUN,YES
NO_FM_WRITER_RUN,YES
NO_CLOCK_RATIO_WRITER_RUN,YES
NO_PHYSICS_FITTING,YES
NO_OLD_ANALYSIS_REPLAY,YES
NO_MODEL_ANALYSIS,YES
NO_NEW_EXTRACTION_METHODS,YES
NO_CONFIG_IMPLEMENTATION,YES
NO_DEFAULT_PATH_CHANGE,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PUSH_PERFORMED,YES
