key,value
F7O_A_AUDIT_COMPLETE,YES
F7O_A_RUN_ATTEMPTED,YES
F7O_A_RUN_SUCCEEDED,YES
F7O_A_TAU_FM_CSV_EMITTED,YES
F7O_A_REQUIRED_METADATA_PRESENT,YES
F7O_A_METADATA_VALUES_VALID,YES
F7O_A_PARTIAL_OUTPUT_WRITTEN_BEFORE_FAILURE,NO
F7O_A_FAILURE_DUE_TO_VALID_CURVES_ASSERT,NO
F7O_A_SAFE_TO_USE_FOR_METADATA_VERIFICATION,YES
F7O_A_SAFE_FOR_PHYSICS_CLAIMS,NO_PENDING_LINEAGE_AND_NON_CANONICAL_FLAGS
F7O_A_READY_FOR_RUN_B,YES_SUBJECT_TO_F7N_BRANCH_ALIGNED_30ROW_CFG
F7O_A_NEXT_SAFE_STEP,F7O_B_FM_METADATA_VERIFY_30ROW_WHEN_CHARTERED
NO_CODE_EDITED,YES
NO_DATASET_REBUILD,YES
NO_DIP_TAU_RERUN,YES
NO_RUN_B,YES
NO_CLOCK_RATIO_WRITER_RUN,YES
NO_PHYSICS_FITTING,YES
NO_OLD_ANALYSIS_REPLAY,YES
NO_MODEL_ANALYSIS,YES
NO_BRANCH_RANKING,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PUSH_PERFORMED,YES
