key,value
F7O_B_AUDIT_COMPLETE,YES
F7O_B_RUN_ATTEMPTED,YES
F7O_B_RUN_SUCCEEDED,YES
F7O_B_TAU_FM_CSV_EMITTED,YES
F7O_B_REQUIRED_METADATA_PRESENT,YES
F7O_B_METADATA_VALUES_VALID,YES
F7O_B_PARTIAL_OUTPUT_WRITTEN_BEFORE_FAILURE,NO
F7O_B_FAILURE_DUE_TO_VALID_CURVES_ASSERT,NO
F7O_B_SAFE_TO_USE_FOR_METADATA_VERIFICATION,YES
F7O_B_SAFE_FOR_PHYSICS_CLAIMS,NO_PENDING_LINEAGE_AND_NON_CANONICAL_FLAGS
F7O_B_METADATA_COMPARISON_TO_RUN_A_COMPLETE,YES
F7O_B_NO_BRANCH_RANKING,YES
F7O_B_READY_FOR_F7O_CLOSURE,YES
F7O_B_NEXT_SAFE_STEP,F7O_FM_TAU_METADATA_SERIES_CLOSURE_DOC_OR_STACK_RANK_METADATA_ONLY
NO_CODE_EDITED,YES
NO_DATASET_REBUILD,YES
NO_DIP_TAU_RERUN,YES
NO_RUN_A_RERUN,YES
NO_CLOCK_RATIO_WRITER_RUN,YES
NO_PHYSICS_FITTING,YES
NO_OLD_ANALYSIS_REPLAY,YES
NO_MODEL_ANALYSIS,YES
NO_BRANCH_RANKING,YES
NO_CROSS_BRANCH_MIXING,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PUSH_PERFORMED,YES
