key,value
F7O_SERIES_CLOSURE_COMPLETE,YES
F7O_FM_TAU_METADATA_VERIFICATION_CLOSED,YES_METADATA_ONLY
F7O_A_INCLUDED,YES
F7O_B_INCLUDED,YES
F7O_A_FULL_SUCCESS,YES
F7O_B_FULL_SUCCESS,YES
F7O_A_TAU_FM_OUTPUT_VERIFIED,YES
F7O_B_TAU_FM_OUTPUT_VERIFIED,YES
F7O_A_METADATA_VALID,YES
F7O_B_METADATA_VALID,YES
F7O_NO_BRANCH_RANKING,YES
F7O_NO_PHYSICS_CLAIMS,YES
F7O_SAFE_FOR_METADATA_VERIFICATION_CLAIMS,YES
F7O_SAFE_FOR_MODEL_USE,NO_PENDING_LINEAGE_AND_NON_CANONICAL_FLAGS
F7O_SAFE_FOR_R_AGE_OR_CLOCK_RATIO,NO
F7O_LINEAGE_REMAINS_OPEN,YES
F7O_NEXT_SAFE_STEP,F7P_R_AGE_OR_CLOCK_RATIO_METADATA_READINESS_OR_LINEAGE_RESOLUTION_PLANNING
NO_CODE_EDITED,YES
NO_MATLAB_RUN,YES
NO_DATASET_REBUILD,YES
NO_DIP_TAU_RERUN,YES
NO_FM_TAU_RERUN,YES
NO_CLOCK_RATIO_WRITER_RUN,YES
NO_PHYSICS_FITTING,YES
NO_OLD_ANALYSIS_REPLAY,YES
NO_MODEL_ANALYSIS,YES
NO_BRANCH_RANKING,YES
NO_CROSS_MODULE_SYNTHESIS,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PUSH_PERFORMED,YES
