verdict_key,verdict_value
F7R2_IMPLEMENTATION_COMPLETE,YES
F7R2_CODE_PATCH_APPLIED,YES
F7R2_HARDENED_METADATA_SCHEMA_DEFINED,YES
F7R2_HARDENED_METADATA_SCHEMA_VERIFIED_BY_SMOKE,YES
F7R2_ROW_USE_FLAGS_IMPLEMENTED,YES
F7R2_ROW_USE_FLAGS_VERIFIED_BY_SMOKE,YES
F7R2_BRANCH_PROVENANCE_RECORDED,YES
F7R2_PATH_PROVENANCE_RECORDED,YES
F7R2_FM_CONVENTION_METADATA_EXPLICIT,YES
F7R2_FAILED_CLOCK_HARD_CODE_RESOLVED_OR_BLOCKED,YES
F7R2_HAS_FM_ZERO_BLOCKED,YES
F7R2_TAU_FM_MODEL_USE_ALLOWED,NO_PENDING_F7S
F7R2_R_AGE_OR_CLOCK_RATIO_READY,NO
F7R2_SAFE_FOR_PHYSICS_CLAIMS,NO
F7R2_READY_FOR_F7S_POST_REPAIR_READINESS_AUDIT,YES
F7R2_NEXT_SAFE_STEP,F7S_AGING_MODULE_POST_REPAIR_READINESS_AUDIT
