phase_id,artifact_path,exists,required_for_F7S,issue,status
F7N,reports/aging/aging_F7N_fm_tau_metadata_readiness.md,YES,YES,,OK
F7N,tables/aging/aging_F7N_candidate_input_paths.csv,YES,YES,,OK
F7N,tables/aging/aging_F7N_fm_cfg_field_inventory.csv,YES,YES,,OK
F7N,tables/aging/aging_F7N_fm_run_plan.csv,YES,YES,,OK
F7N,tables/aging/aging_F7N_status.csv,YES,YES,,OK
F7O,reports/aging/aging_F7O_fm_tau_metadata_series_closure.md,YES,YES,,OK
F7O,tables/aging/aging_F7O_series_closure_summary.csv,YES,YES,,OK
F7O,tables/aging/aging_F7O_series_branch_matrix.csv,YES,YES,,OK
F7O,tables/aging/aging_F7O_series_open_items.csv,YES,YES,,OK
F7O,tables/aging/aging_F7O_series_status.csv,YES,YES,,OK
F7P,reports/aging/aging_F7P_fm_tau_lineage_resolution_plan.md,YES,YES,,OK
F7P,tables/aging/aging_F7P_lineage_blocker_inventory.csv,YES,YES,,OK
F7P,tables/aging/aging_F7P_model_use_gate_plan.csv,YES,YES,,OK
F7P,tables/aging/aging_F7P_R_age_prerequisite_gate.csv,YES,YES,,OK
F7P,tables/aging/aging_F7P_required_next_actions.csv,YES,YES,,OK
F7P,tables/aging/aging_F7P_status.csv,YES,YES,,OK
F7Q,reports/aging/aging_F7Q_fm_tau_lineage_resolution_audit.md,YES,YES,,OK
F7Q,tables/aging/aging_F7Q_source_path_trace.csv,YES,YES,,OK
F7Q,tables/aging/aging_F7Q_fm_abs_convention_audit.csv,YES,YES,,OK
F7Q,tables/aging/aging_F7Q_branch_alignment_matrix.csv,YES,YES,,OK
F7Q,tables/aging/aging_F7Q_valid_row_policy_audit.csv,YES,YES,,OK
F7Q,tables/aging/aging_F7Q_dip_and_failed_clock_dependency_audit.csv,YES,YES,,OK
F7Q,tables/aging/aging_F7Q_model_use_decision.csv,YES,YES,,OK
F7Q,tables/aging/aging_F7Q_R_age_readiness_decision.csv,YES,YES,,OK
F7Q,tables/aging/aging_F7Q_remaining_actions.csv,YES,YES,,OK
F7Q,tables/aging/aging_F7Q_status.csv,YES,YES,,OK
F7R,reports/aging/aging_F7R_lineage_policy_metadata_hardening_plan.md,YES,YES,,OK
F7R,tables/aging/aging_F7R_required_metadata_fields.csv,YES,YES,,OK
F7R,tables/aging/aging_F7R_fm_convention_policy.csv,YES,YES,,OK
F7R,tables/aging/aging_F7R_row_use_policy.csv,YES,YES,,OK
F7R,tables/aging/aging_F7R_branch_policy.csv,YES,YES,,OK
F7R,tables/aging/aging_F7R_dip_tau_compatibility_policy.csv,YES,YES,,OK
F7R,tables/aging/aging_F7R_failed_clock_policy.csv,YES,YES,,OK
F7R,tables/aging/aging_F7R_code_hardening_tasks.csv,YES,YES,CHR rows still OPEN vs F7R2 implementation drift,DRIFT_DOC_ONLY
F7R,tables/aging/aging_F7R_model_use_gate.csv,YES,YES,,OK
F7R,tables/aging/aging_F7R_R_age_clock_ratio_gate.csv,YES,YES,,OK
F7R,tables/aging/aging_F7R_F7S_post_repair_readiness_audit_spec.csv,YES,YES,,OK
F7R,tables/aging/aging_F7R_remaining_actions.csv,YES,YES,,OK
F7R,tables/aging/aging_F7R_status.csv,YES,YES,,OK
F7R2,reports/aging/aging_F7R2_fm_tau_metadata_hardening_implementation.md,YES,YES,,OK
F7R2,tables/aging/aging_F7R2_code_change_inventory.csv,YES,YES,,OK
F7R2,tables/aging/aging_F7R2_hardened_metadata_schema.csv,YES,YES,,OK
F7R2,tables/aging/aging_F7R2_row_use_flag_policy_applied.csv,YES,YES,,OK
F7R2,tables/aging/aging_F7R2_smoke_input_cfg.csv,YES,YES,,OK
F7R2,tables/aging/aging_F7R2_smoke_output_schema_check.csv,YES,YES,,OK
F7R2,tables/aging/aging_F7R2_smoke_row_use_check.csv,YES,YES,,OK
F7R2,tables/aging/aging_F7R2_remaining_blockers.csv,YES,YES,,OK
F7R2,tables/aging/aging_F7R2_status.csv,YES,YES,,OK
