verdict_key,verdict_value
F7S_AUDIT_COMPLETE,YES
F7S_ARTIFACTS_COMPLETE,YES
F7S_STATUS_SEQUENCE_CONSISTENT,YES
F7S_F7R2_IMPLEMENTATION_CLOSED,YES
F7S_HARDENED_TAU_SCHEMA_CONFIRMED,YES
F7S_ROW_USE_SAFETY_CONFIRMED,YES
F7S_HAS_FM_ZERO_BLOCKED,YES
F7S_BRANCH_PATH_PROVENANCE_CONFIRMED,YES
F7S_FM_CONVENTION_READY_FOR_GENERAL_MODEL_USE,NO
F7S_FAILED_CLOCK_POLICY_READY,PARTIAL
F7S_TAU_FM_GENERAL_MODEL_USE_ALLOWED,YES_SCOPED_ONLY
F7S_R_AGE_OR_CLOCK_RATIO_ALLOWED,YES_SCOPED_CHARTER_ONLY
F7S_READY_FOR_SCOPED_R_AGE_CHARTER,YES
F7S_SAFE_FOR_PHYSICS_CLAIMS,NO
F7S_RESULTS_DIR_COMMIT_REQUIRED,NO
F7S_NEXT_SAFE_STEP,COMMIT_F7S_AUDIT_ARTIFACTS_ONLY_THEN_DEFINE_SCOPED_R_AGE_CHARTER
