verdict_key,verdict_value
F7T_CHARTER_COMPLETE,YES
F7T_SCOPED_R_AGE_EXECUTION_ALLOWED_BY_CHARTER,YES
F7T_RATIO_EXECUTED,NO
F7T_PHYSICS_CLAIMS_MADE,NO
F7T_HARDENED_FM_INPUT_REQUIRED,YES
F7T_NON_HARDENED_FM_INPUT_FORBIDDEN,YES
F7T_DIP_TAU_EXPLICIT_PATH_REQUIRED,YES
F7T_BRANCH_MODE_REQUIRED,YES
F7T_BRANCH_RANKING_ALLOWED,NO
F7T_CANONICAL_BRANCH_SELECTION_ALLOWED,NO
F7T_ROW_LEVEL_FLAGS_REQUIRED,YES
F7T_HAS_FM_ZERO_EXCLUDED,YES
F7T_BLOCKED_ROWS_EXCLUDED,YES
F7T_CROSS_MODULE_SYNTHESIS_ALLOWED,NO
F7T_READY_FOR_SCOPED_R_AGE_EXECUTION,YES
F7T_SAFE_FOR_PHYSICS_CLAIMS,NO
F7T_NEXT_SAFE_STEP,COMMIT_F7T_CHARTER_ONLY_THEN_SCOPED_R_AGE_EXECUTION_PROMPT
