verdict_key,verdict_value
F7U_SURVEY_COMPLETE,YES
F7U_RATIO_EXECUTED,NO
F7U_TAU_EXTRACTION_RUN,NO
F7U_DECOMPOSITION_RERUN,NO
F7U_PHYSICS_CLAIMS_MADE,NO
F7U_DECOMPOSITION_PATHS_INVENTORIED,YES
F7U_TAU_METHODS_INVENTORIED,YES
F7U_FIT_BASED_DECOMPOSITION_FOUND,YES
F7U_DIRECT_NONFIT_DECOMPOSITION_FOUND,YES
F7U_FIT_VS_DIRECT_COMPARISON_READY,PARTIAL
F7U_MULTIPATH_RATIO_ROBUSTNESS_READY,PARTIAL
F7U_BASELINE_F7T_RATIO_READY,YES
F7U_DIRECT_TAU_EXTRACTION_READY,PARTIAL
F7U_CANDIDATE_RATIO_PATHS_DEFINED,YES
F7U_READY_FOR_RATIO_EXECUTION,YES_BASELINE_ONLY
F7U_READY_FOR_MULTIPATH_ROBUSTNESS_EXECUTION,NO
F7U_SAFE_FOR_PHYSICS_CLAIMS,NO
F7U_NEXT_SAFE_STEP,COMMIT_F7U_SURVEY_ONLY_THEN_MULTIPATH_ROBUSTNESS_CHARTER_OR_DECOMP_ALIGNMENT
