verdict_key,verdict_value
F7W_BRIDGE_EXPORT_CHARTER_COMPLETE,YES
F7W_BRIDGE_IMPLEMENTED,NO
F7W_RATIO_EXECUTED,NO
F7W_TAU_EXTRACTION_RUN,NO
F7W_DECOMPOSITION_RERUN,NO
F7W_PHYSICS_CLAIMS_MADE,NO
F7W_FUTURE_LONG_SCHEMA_DEFINED,YES
F7W_FUTURE_INDEX_SCHEMA_DEFINED,YES
F7W_FUTURE_PAIRING_POLICY_SCHEMA_DEFINED,YES
F7W_NO_SUBSTITUTION_GUARDRAILS_DEFINED,YES
F7W_MINIMAL_IMPLEMENTATION_SCOPE_DEFINED,YES
F7W_VALIDATION_GATES_DEFINED,YES
F7W_DOWNSTREAM_TRANSITION_RULES_DEFINED,YES
F7W_READY_FOR_BRIDGE_IMPLEMENTATION,YES
F7W_READY_FOR_TAU_CHARTER,PARTIAL
F7W_READY_FOR_MULTIPATH_RATIO_EXECUTION,NO
F7W_BASELINE_F7T_RATIO_STILL_ALLOWED,YES_BASELINE_ONLY
F7W_SAFE_FOR_PHYSICS_CLAIMS,NO
F7W_NEXT_SAFE_STEP,IMPLEMENT_F7W_BRIDGE_EXPORT
