status_key,status_value,evidence,notes
F7X2_ROUTE_NAME_METHOD_SURVEY_COMPLETE,YES,"reports/aging/aging_F7X2_route_name_method_survey.md; tables/aging/aging_F7X2_*.csv","Read-only survey package written 2026-05-03"
F7X2_CONTRACT_WRITTEN,NO,"No new naming contract doc in this task","Explicitly deferred per user"
F7X2_FINAL_NAMES_SELECTED,NO,"No FINAL decision_status in candidate tables","All candidate rows CANDIDATE_ONLY"
F7X2_EXISTING_NAMES_RENAMED,NO,"No code or artifact renames","Survey only"
F7X2_DECOMPOSITION_METHODS_SURVEYED,YES,"aging_F7X2_decomposition_method_inventory.csv; doc/code anchors in survey md","Stage4 modes stage5 stage6 export consolidation bridge covered"
F7X2_TAU_METHODS_SURVEYED,YES,"aging_F7X2_tau_method_inventory.csv; aging_timescale_extraction.m aging_fm_timescale_analysis.m headers","Curvefit families rescaling clock downstream listed"
F7X2_RATIO_METHODS_SURVEYED,YES,"aging_F7X2_tau_method_inventory.csv R_CLOCK rows; aging_clock_ratio_analysis.m","Downstream from prior tau tables"
F7X2_CONFUSION_RISKS_RECORDED,YES,"aging_F7X2_name_confusion_risk_inventory.csv","Includes Track A/B C_* cfg fit confusion tau downstream"
F7X2_CANDIDATE_NAMING_DIMENSIONS_PROPOSED,YES,"aging_F7X2_candidate_naming_dimensions.csv","Dimensions for future contract"
F7X2_CANDIDATE_DISPLAY_NAMES_PROPOSED,YES,"aging_F7X2_candidate_display_names.csv","Example pipe-separated display strings only"
F7X2_MATLAB_RUN,NO,"No MATLAB invocation this task","Per user guardrail"
F7X2_PYTHON_RUN,NO,"No Python","Per user guardrail"
F7X2_REPLAY_RUN,NO,"No replay","Per user guardrail"
F7X2_TAU_EXTRACTION_RUN,NO,"No tau extraction","Per user guardrail"
F7X2_RATIO_EXECUTED,NO,"No R_age execution","Per user guardrail"
F7X2_CODE_REFACTORED,NO,"No .m edits","Text read only"
F7X2_PHYSICS_CLAIMS_MADE,NO,"Survey labels and routing only","No interpretation"
F7X2_READY_FOR_NAMING_CONTRACT,PARTIAL,"Inventory and dimensions complete; open questions on Track A tau adapters and sidecar policy","PARTIAL until contract author resolves open questions"
F7X2_READY_FOR_TAU_CHARTER,PARTIAL,"F7X_bridge_status F7X_READY_FOR_TAU_CHARTER PARTIAL; Track A streams missing in F7X slice","Aligns with F7X implementation disclosure"
F7X2_NEXT_SAFE_STEP,REVIEW_SURVEY_THEN_WRITE_NAMING_CONTRACT,"User requested contract after review","Conservative governance step"
