route_id,object_or_route_group,entity_kind,branch_or_stage,source_field_or_object,decomposition_or_tau_role,sign_or_magnitude_policy,tau_domain,tau_method,allowed_use,candidate_display_label,required_metadata_fields,decision_status,basis,notes
RT-ST4-DIR-SMOOTH,stage4 direct core,object,stage4_direct_family,DeltaM_smooth,decomposition_smooth_component,N/A,N/A,N/A,decomposition_component,"[CANDIDATE] Stage4 direct: DeltaM_smooth (sgolay)",entity_kind;stage_or_route;decomposition_method;sign_policy;contract_status;producer_script;source_artifact,CANDIDATE_WITH_QUALIFIER,F7X5 R-DIR-001,Not final headline
RT-ST4-DIR-SHARP,stage4 direct core,object,stage4_direct_family,DeltaM_sharp,decomposition_sharp_residual_dM_minus_smooth,N/A,N/A,N/A,decomposition_component,"[CANDIDATE] Stage4 direct: DeltaM_sharp (dM minus smooth)",entity_kind;stage_or_route;reference_or_subtraction_rule,CANDIDATE_WITH_QUALIFIER,R-DM-002,dM not signed path
RT-ST4-DIR-DIPSIGNED,stage4 direct core,object,stage4_direct_family,dip_signed,decomposition_signed_dip_residual,N/A,N/A,N/A,decomposition_component,"[CANDIDATE] Stage4 direct: dip_signed (signed minus smooth)",entity_kind;DeltaM_signed_source;reference_or_subtraction_rule,CANDIDATE_WITH_QUALIFIER,R-DM-003,May differ from DeltaM_sharp
RT-ST4-DIR-FMSIGNED,stage4 direct core,object,stage4_direct_family,FM_signed,decomposition_plateau_FM,SIGNED_ONLY,N/A,N/A,decomposition_component,"[CANDIDATE] Stage4 direct: FM_signed",entity_kind;stage_or_route;sign_policy;contract_status,CANDIDATE_WITH_QUALIFIER,R-FM-001,
RT-ST4-DIR-FMABS,stage4 direct core,object,stage4_direct_family,FM_abs,decomposition_plateau_FM,ABS_ONLY,N/A,N/A,decomposition_component,"[CANDIDATE] Stage4 direct: FM_abs (magnitude)",entity_kind;sign_policy;contract_status,CANDIDATE_WITH_QUALIFIER,R-FM-002,
RT-ST4-DER-FMRAW,stage4 derivative objects,object,stage4_derivative,FM_step_raw,decomposition_derivative_FM_redefined,SIGNED_SEMANTICS_LEGACY_MAG_NAME,N/A,N/A,decomposition_component,"[CANDIDATE] Stage4 derivative: FM_step_raw (median-baseline path)",entity_kind;stage_or_route;decomposition_method,CANDIDATE_WITH_QUALIFIER,R-DER-001,Not interchangeable with direct default
RT-ST4-EXT-MAX,stage4 extrema-smoothed objects,object,stage4_extrema_movmean11,FM_extrema_smoothed,decomposition_extrema_on_movmean,N/A,N/A,N/A,decomposition_component,"[CANDIDATE] Stage4 extrema: FM_extrema_smoothed",entity_kind;smoothing_policy;stage_or_route,CANDIDATE_WITH_QUALIFIER,R-EXT-001,
RT-ST4-EXT-MIN,stage4 extrema-smoothed objects,object,stage4_extrema_movmean11,AFM_extrema_smoothed,decomposition_extrema_on_movmean,N/A,N/A,N/A,decomposition_component,"[CANDIDATE] Stage4 extrema: AFM_extrema_smoothed",entity_kind;smoothing_policy;stage_or_route,CANDIDATE_WITH_QUALIFIER,R-EXT-001,
RT-ST5-FM-E,stage5 fit objects,object,stage5_fit_interface,FM_E,fit_summary_input_to_stage6,SIGNED_OR_MAG_PER_fit_context,N/A,N/A,decomposition_component,"[CANDIDATE] Stage5 fit interface: FM_E (PARTIAL callee)",entity_kind;fit_dependency=PARTIAL;producer_script,CANDIDATE_PARTIAL,R-FIT-002,Do not promote to LOCKED name
RT-ST5-DIPAREA,stage5 fit objects,object,stage5_fit_interface,Dip_area_selected,fit_area_metric,N/A,N/A,N/A,decomposition_component,"[CANDIDATE] Stage5 fit interface: Dip_area_selected",entity_kind;fit_dependency=PARTIAL;stage_or_route,CANDIDATE_PARTIAL,R-FIT-002,
RT-ST6-AFMLIKE,stage6 summary objects,object,stage6_Track_A_summary,AFM_like,fit_summary_vector_from_Dip_area_selected,N/A,N/A,N/A,diagnostic_summary,"[CANDIDATE] Stage6 Track A summary: AFM_like",entity_kind;stage_or_route;upstream_object_tokens,CANDIDATE_WITH_QUALIFIER,R-ST6-001,Not consolidation Dip_depth
RT-ST6-FMLIKE,stage6 summary objects,object,stage6_Track_A_summary,FM_like,fit_summary_vector_from_FM_E,N/A,N/A,N/A,diagnostic_summary,"[CANDIDATE] Stage6 Track A summary: FM_like",entity_kind;stage_or_route;upstream_object_tokens,CANDIDATE_WITH_QUALIFIER,R-ST6-001,
RT-DS5-DIPDEPTH,five-column dataset objects,dataset_row,Track_B_consolidation,Dip_depth,consolidation_pauseRun_scalar,N/A,N/A,N/A,tau_input_candidate,"[CANDIDATE] Track B five-column: Dip_depth (reader contract)",entity_kind;source_artifact;grain;join_keys,CANDIDATE_PARTIAL,R-DS-001,F7I lineage gates still apply
RT-DS5-FMABS,five-column dataset objects,dataset_row,Track_B_consolidation,FM_abs,consolidation_magnitude_only,ABS_ONLY,N/A,N/A,tau_input_candidate,"[CANDIDATE] Track B five-column: FM_abs (ABS_ONLY)",entity_kind;sign_policy=ABS_ONLY;source_artifact,CANDIDATE_PARTIAL,R-DS-001,No signed FM in five columns
RT-BRI-DIPB,F7X bridge components,bridge_row,bridge_export_stream,C_DIP_DEPTH_B,bridge_mapped_scalar,N/A,N/A,N/A,bridge_only,"[CANDIDATE] Bridge export: C_DIP_DEPTH_B (TRACK_B consolidation)",entity_kind;bridge_row_id;branch_family;allowed_use=bridge_only,BRIDGE_ONLY,R-BRI-001,Not canonical observable headline
RT-BRI-FMABSB,F7X bridge components,bridge_row,bridge_export_stream,C_FM_ABS_B,bridge_mapped_scalar,ABS_ONLY,N/A,N/A,bridge_only,"[CANDIDATE] Bridge export: C_FM_ABS_B (ABS_ONLY semantics)",entity_kind;sign_policy;bridge_row_id,BRIDGE_ONLY,R-BRI-001,
RT-TAU-DIPCSV,tau dip outputs,tau_output,tau_script,tau_vs_Tp.csv,tau_output_from_Dip_depth_curve,DIP_CURVEFIT,CURVEFIT_ZOO,exploration_ratio_input_gated,"[CANDIDATE] Tau dip output row (file-level)",tau_domain;tau_method;tau_input_object;producer_script;grain;units;lineage_status,DOWNSTREAM_ONLY,R-TAU-001,Not pauseRun field
RT-TAU-FMCSV,tau FM outputs,tau_output,tau_script,tau_FM_vs_Tp.csv,tau_output_from_FM_abs_curve,FM_ABS_CURVEFIT,CURVEFIT_ZOO,exploration_ratio_input_gated,"[CANDIDATE] Tau FM output row (file-level)",tau_domain;tau_method;tau_input_object;producer_script;grain;units;lineage_status,DOWNSTREAM_ONLY,R-TAU-001,
RT-TAU-EFF,tau_effective_seconds,tau_output,tau_script,tau_effective_seconds,tau_summary_scalar_legacy,N/A,DIP_OR_FM_PER_ROW,half_range_or_consensus_string,display_only_gated,"[CANDIDATE] tau_effective_seconds (legacy bundle required)",full tau_effective_bundle per R-TAU-002,DISPLAY_ONLY,R-TAU-002,Never lone consumer label
RT-RAT-RAGE,ratio outputs,ratio_output,ratio_script,R_age,downstream_combinator_on_tau_tables,N/A,N/A,N/A,downstream_ratio,"[CANDIDATE] Downstream ratio: R_age (paired tau inputs)",ratio_inputs;downstream_status;lineage_status,DOWNSTREAM_ONLY,R-RAT-001,
RT-TRK-A,Track A governance label,diagnostic,governance_router,N/A,route_label_not_object,N/A,N/A,N/A,diagnostic_only,"[CANDIDATE] Track A (pair with stage6 objects)",must_pair_with_object_list;stage_or_route,EXCLUDED,R-TRK-001,Sole label EXCLUDED for semantic use
RT-TRK-B,Track B governance label,diagnostic,governance_router,N/A,route_label_not_object,N/A,N/A,N/A,diagnostic_only,"[CANDIDATE] Track B (pair with five-column contract)",must_pair_with_reader_contract,EXCLUDED,R-TRK-001,Sole label EXCLUDED for semantic use
RT-DIAG-F3B,F3b signed FM audit,diagnostic,audit_script,FM_step_mag,signed_plateau_matrix_audit,SIGNED_SEMANTICS_WIDE_MATRIX,N/A,N/A,diagnostic_only,"[CANDIDATE] Diagnostic: F3b FM_step_mag audit context",entity_kind;producer_script;grain,CANDIDATE_PARTIAL,F7J router,Parallel to five-column not replacement
RT-EXC-FITKERN,fit callee internal kernel,object,stage5_fit_internal_unaudited,N/A,undocumented_kernel_algebra,N/A,N/A,N/A,excluded_from_locked_naming,"[EXCLUDED] Fit kernel internals (no consumer headline)",EXCLUDED_PENDING_AUDIT,EXCLUDED,R-EXC-001,Keep out of primary naming
