status_key,status_value,evidence,notes
F7X9_EDITORIAL_EDITS_APPLIED,YES,"reports/aging/aging_F7X9_editorial_edits_applied.md","E-001 E-002 E-004 to F7X7 guide"
F7X9_QUICK_START_ADDED,YES,"reports/aging/aging_F7X7_user_observable_guide_draft.md",""
F7X9_GLOSSARY_ADDED,YES,"same",""
F7X9_SAFE_USE_LEGEND_ADDED,YES,"same",""
F7X9_FINAL_NAMING_CONTRACT_WRITTEN,NO,"Out of scope",""
F7X9_DOCS_PROMOTION_PERFORMED,NO,"Out of scope",""
F7X9_ARTIFACTS_RENAMED,NO,"",""
F7X9_CODE_REFACTORED,NO,"",""
F7X9_MATLAB_RUN,NO,"",""
F7X9_PYTHON_RUN,NO,"",""
F7X9_REPLAY_RUN,NO,"",""
F7X9_TAU_EXTRACTION_RUN,NO,"",""
F7X9_RATIO_EXECUTED,NO,"",""
F7X9_PHYSICS_CLAIMS_MADE,NO,"Editorial only",""
F7X9_SWITCHING_TOUCHED,NO,"Aging guide only",""
F7X9_RELAXATION_TOUCHED,NO,"Aging guide only",""
F7X9_MT_TOUCHED,NO,"Aging guide only",""
F7X9_READY_FOR_DOCS_PROMOTION,YES_WITH_REVIEW,"Human skim then optional docs copy","F7X5 blockers still inherited"
F7X9_NEXT_SAFE_STEP,"HUMAN_REVIEW_F7X7_THEN_OPTIONAL_ARCHIVE_COMMIT_OF_F7X7_PLUS_F7X9_OR_DOCS_PROMOTION_TASK","F7X9 record complete",""
