bridge_row_id,branch_family,decomposition_path_id,component_id,component_role,Tp,tw,value,value_units,sign_convention,signed_value_available,absolute_value_used,scalar_type,grid_type,fit_direct_class,producer,source_artifact,source_run,lineage_status,metadata_status,eligible_for_tau,eligible_for_fit_direct_comparison,eligible_for_ratio_robustness,blocked_reason,notes
F7X_L_00001,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,6,3,"3.27732274143177e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00002,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,6,3,"",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,DEGRADED,PARTIAL,NO,NO,MISSING_NUMERIC_VALUE_IN_SOURCE,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00003,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,6,36,"7.99508634517402e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00004,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,6,36,"",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,DEGRADED,PARTIAL,NO,NO,MISSING_NUMERIC_VALUE_IN_SOURCE,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00005,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,6,360,"9.23676895617443e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00006,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,6,360,"",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,DEGRADED,PARTIAL,NO,NO,MISSING_NUMERIC_VALUE_IN_SOURCE,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00007,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,6,3600,"3.92977295782975e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00008,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,6,3600,"",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,DEGRADED,PARTIAL,NO,NO,MISSING_NUMERIC_VALUE_IN_SOURCE,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00009,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,10,3,"1.42556527773531e-08",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00010,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,10,3,"",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,DEGRADED,PARTIAL,NO,NO,MISSING_NUMERIC_VALUE_IN_SOURCE,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00011,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,10,36,"1.03585720097351e-06",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
