status_key,status_value,evidence,notes
F7Y0_AT_A_GLANCE_TABLE_ADDED,YES,"reports/aging/aging_F7X7_user_observable_guide_draft.md","Section after Purpose before Quick start"
F7Y0_ONLY_F7X7_GUIDE_EDITED,YES,"No other paths modified",""
F7Y0_FINAL_NAMING_CONTRACT_WRITTEN,NO,"Polish only",""
F7Y0_DOCS_PROMOTION_PERFORMED,NO,"",""
F7Y0_ARTIFACTS_RENAMED,NO,"",""
F7Y0_CODE_REFACTORED,NO,"",""
F7Y0_MATLAB_RUN,NO,"",""
F7Y0_PYTHON_RUN,NO,"",""
F7Y0_REPLAY_RUN,NO,"",""
F7Y0_TAU_EXTRACTION_RUN,NO,"",""
F7Y0_RATIO_EXECUTED,NO,"",""
F7Y0_PHYSICS_CLAIMS_MADE,NO,"",""
F7Y0_SWITCHING_TOUCHED,NO,"",""
F7Y0_RELAXATION_TOUCHED,NO,"",""
F7Y0_MAINTENANCE_INFRA_TOUCHED,NO,"",""
F7Y0_MT_TOUCHED,NO,"",""
F7Y0_READY_FOR_DOCS_PROMOTION,YES_WITH_HUMAN_REVIEW,"Table aids onboarding final copy still optional",""
F7Y0_NEXT_SAFE_STEP,"HUMAN_READ_THEN_OPTIONAL_ARCHIVE_COMMIT_F7Y0_PLUS_UPDATED_F7X7_GUIDE","Single-file polish complete",""
