status_key,status_value,evidence,notes
F7Y1_DOCS_DRAFT_CREATED,YES,"docs/aging_observable_user_guide_draft.md",""
F7Y1_SOURCE_GUIDE,reports/aging/aging_F7X7_user_observable_guide_draft.md,"Unmodified source",""
F7Y1_DOCS_OUTPUT,docs/aging_observable_user_guide_draft.md,"Promoted copy",""
F7Y1_FINAL_NAMING_CONTRACT_WRITTEN,NO,"Draft banner and preserved disclaimers",""
F7Y1_ARTIFACTS_RENAMED,NO,"",""
F7Y1_CODE_REFACTORED,NO,"",""
F7Y1_MATLAB_RUN,NO,"",""
F7Y1_PYTHON_RUN,NO,"",""
F7Y1_REPLAY_RUN,NO,"",""
F7Y1_TAU_EXTRACTION_RUN,NO,"",""
F7Y1_RATIO_EXECUTED,NO,"",""
F7Y1_PHYSICS_CLAIMS_MADE,NO,"Fidelity copy only",""
F7Y1_TABLES_DUPLICATED_TO_DOCS,NO,"Annex paths remain tables/aging",""
F7Y1_SWITCHING_TOUCHED,NO,"",""
F7Y1_RELAXATION_TOUCHED,NO,"",""
F7Y1_MAINTENANCE_INFRA_TOUCHED,NO,"",""
F7Y1_MT_TOUCHED,NO,"",""
F7Y1_F7X5_BLOCKERS_REMAIN_DISCLOSED,YES,"Open caveats section in docs draft",""
F7Y1_READY_FOR_ARCHIVE_COMMIT,YES,"docs plus F7Y1 record only when user commits",""
F7Y1_NEXT_SAFE_STEP,"ARCHIVE_COMMIT_DOCS_DRAFT_AND_F7Y1_RECORD_OR_ADD_DOCS_INDEX_LINK","Optional follow-up",""
