status_key,status_value,evidence,notes
AGING_CANONICAL_REENTRY_MAP_COMPLETE,YES,"reports/aging/aging_canonical_reentry_map_01.md",""
F7X_F7Y_GUIDE_USED,YES,"docs/aging_observable_user_guide_draft.md and F7X5 F7X6 tables",""
NEW_ANALYSIS_RUN,NO,"Planning only",""
MATLAB_RUN,NO,"",""
PYTHON_RUN,NO,"",""
REPLAY_RUN,NO,"",""
TAU_COMPUTED,NO,"",""
RATIO_COMPUTED,NO,"",""
NEW_PHYSICS_CLAIMS_MADE,NO,"Inventory language only",""
SWITCHING_TOUCHED,NO,"",""
RELAXATION_TOUCHED,NO,"",""
MAINTENANCE_INFRA_TOUCHED,NO,"",""
MT_TOUCHED,NO,"",""
READY_TO_SELECT_NEXT_SCIENTIFIC_SLICE,YES,"aging_canonical_reentry_next_slice_options_01.csv",""
RECOMMENDED_NEXT_SLICE,TRACKB_READER_VALIDATION,"recommended_rank 1 in next slice table","Parallel TAU_METADATA_COMPLETION optional"
READY_FOR_ARCHIVE_COMMIT,YES,"Five new artifacts only under reports aging tables aging",""
