key,value
AGING_DECOMPOSITION_TAU_GAP_SURVEY_COMPLETE,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
REPLAY_RUN,NO
TAU_COMPUTED,NO
RATIO_COMPUTED,NO
VISUALIZATION_GENERATED,NO
PRIOR_ARTIFACTS_FOUND,YES
BASELINE_DIRECT_PATH_CLEAR,YES
BASELINE_DIRECT_PATH_VALIDATED,YES
OLD_FIT_PATH_CLEAR,PARTIAL
TRACK_LABELS_STILL_AMBIGUOUS,YES
TAU_EFFECTIVE_SECONDS_STILL_AMBIGUOUS,YES
DECOMPOSITION_METHODS_CLEAR_ENOUGH,PARTIAL
TAU_METHODS_CLEAR_ENOUGH,PARTIAL
MULTIPLE_PATHWAY_COMPARISON_READY,PARTIAL
COMPARISON_RUNNER_READY_TO_IMPLEMENT,NO
VISUALIZATION_READY,PARTIAL
RATIO_REENTRY_READY,PARTIAL
READY_FOR_ARCHIVE_COMMIT,YES
RECOMMENDED_NEXT_ACTION,Finalize pathway registry + bridge implementation charter before comparison-runner code; keep visuals labeled with tau_bundle metadata per B-003
