status_key,status_value
AGING_DIP_FM_TW_INVENTORY_COMPLETE,YES
PRIMARY_SOURCE,tables/aging/aging_observable_dataset.csv
TRACKB_READER_VALIDATION_USED,YES
MULTIPATH_STATUS_USED,YES
DIP_DEPTH_INVENTORIED,YES
FM_ABS_INVENTORIED,YES
TAU_EXTRACTED,NO
RATIO_COMPUTED,NO
NEW_PHYSICS_CLAIMS_MADE,NO
MATLAB_RUN,NO
PYTHON_RUN,NO
REPLAY_RUN,NO
SWITCHING_TOUCHED,NO
RELAXATION_TOUCHED,NO
MAINTENANCE_INFRA_TOUCHED,NO
MT_TOUCHED,NO
READY_FOR_TAU_METADATA_GATE,YES
READY_FOR_TAU_EXTRACTION,PARTIAL
READY_FOR_RATIO_REENTRY,NO
READY_FOR_ARCHIVE_COMMIT,YES
RECOMMENDED_NEXT_ACTION,AGING-TAU-METADATA-GATE-01
