status_key,status_value
AGING_OLD_FIT_SUMMARY_METHOD_AUDIT_COMPLETE,YES
OLD_OBJECTS_INVENTORIED,YES
AFM_LIKE_DEFINED,PARTIAL
FM_LIKE_DEFINED,PARTIAL
DIP_AREA_SELECTED_DEFINED,PARTIAL
FM_E_DEFINED,PARTIAL
DIRECT_COMPARISON_TO_DIP_DEPTH_ALLOWED,PARTIAL
DIRECT_COMPARISON_TO_FM_ABS_ALLOWED,PARTIAL
BRIDGE_REQUIRED_BEFORE_COMPARISON,YES
REPLAY_REQUIRED_BEFORE_SCIENTIFIC_USE,YES
TAU_PATH_FOR_OLD_ROUTE_READY,PARTIAL
MATLAB_RUN,NO
PYTHON_RUN,NO
REPLAY_RUN,NO
TAU_COMPUTED,NO
RATIO_COMPUTED,NO
NEW_PHYSICS_CLAIMS_MADE,NO
SWITCHING_TOUCHED,NO
RELAXATION_TOUCHED,NO
MAINTENANCE_INFRA_TOUCHED,NO
MT_TOUCHED,NO
READY_FOR_ARCHIVE_COMMIT,YES
RECOMMENDED_NEXT_ACTION,F7V_bridge_charter_alignment_then_canonical_Track_A_replay_when_permitted
