key,value
AGING_PATHWAY_REGISTRY_BRIDGE_CHARTER_COMPLETE,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
REPLAY_RUN,NO
TAU_COMPUTED,NO
RATIO_COMPUTED,NO
VISUALIZATION_GENERATED,NO
G001_ROW_IDENTITY_CONTRACT_DEFINED,YES
G002_PATHWAY_REGISTRY_CONTRACT_DEFINED,YES
G003_TAU_BUNDLE_CONTRACT_DEFINED,YES
TRACK_LABELS_FORBIDDEN_AS_IDS,YES
TAU_EFFECTIVE_SECONDS_SAFE_USE_DEFINED,YES
BASELINE_DIRECT_PATHWAY_REGISTERABLE,YES
OLD_FIT_PATHWAY_REGISTERABLE,PARTIAL
MULTIPATH_COMPARISON_ALLOWED_NOW,NO
COMPARISON_RUNNER_READY_TO_IMPLEMENT,NO
VISUALIZATION_READY_FOR_MULTIPATH,PARTIAL
RATIO_REENTRY_READY,PARTIAL
READY_FOR_ARCHIVE_COMMIT,YES
RECOMMENDED_NEXT_ACTION,Commit charter artifacts; execute PRB_01 registry then PRB_02 bridge audit design then PRB_03 validator before any runner code
