key,value
AGING_PRB01_PATHWAY_REGISTRY_COMPLETE,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
REPLAY_RUN,NO
TAU_COMPUTED,NO
RATIO_COMPUTED,NO
VISUALIZATION_GENERATED,NO
REGISTRY_TABLE_CREATED,YES
REGISTRY_VERSION,PRB01_V1
PATHWAY_IDS_UNIQUE,YES
TRACK_LABELS_FORBIDDEN_AS_IDS,YES
TAU_EFFECTIVE_SECONDS_FORBIDDEN_AS_ID,YES
BASELINE_DIP_REGISTERED,YES
BASELINE_FM_REGISTERED,YES
OLD_FIT_FORENSIC_REGISTERED,YES
BASELINE_ROWS_EVIDENCE_BACKED,YES
OLD_FIT_MARKED_FORENSIC,YES
MULTIPATH_COMPARISON_ALLOWED_NOW,NO
COMPARISON_RUNNER_READY_TO_IMPLEMENT,NO
READY_FOR_PRB02_BRIDGE_AUDIT,YES
READY_FOR_TAU_BUNDLE_VALIDATOR,YES
READY_FOR_ARCHIVE_COMMIT,YES
RECOMMENDED_NEXT_ACTION,Commit PRB-01 artifacts then begin PRB_02 F7V row-identity bridge audit design against aging_F7V_required_bridge_contract.csv
