bridge_row_id,bridge_version,pathway_id,pathway_family,source_artifact,source_run,source_dataset_id,Tp,tw,source_observable,component_definition,tau_value_field,tau_method,row_identity_key,co_registered_group_id,row_identity_status,forensic_only,allowed_for_comparison,notes
BL_DIP_TP14,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,14,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,CURVEFIT_ZOO buildConsensusTau per tau_vs_Tp_sidecar,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_14_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,SOURCE_RUN,CONDITIONAL,Grain is per_Tp_summary; tw not a row key in tau_vs_Tp export; sidecar lineage_status REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION
BL_FM_TP14,PRB02B_V1,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp.csv,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,14,NOT_APPLICABLE_TP_SUMMARY_EXPORT,FM_abs,FM_abs magnitude per Tp summary over tw curves,tau_effective_seconds,CURVEFIT_ZOO buildEffectiveFmTau per tau_FM_vs_Tp_sidecar,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_14_PRB02B,OK_LINEAGE_PARTIAL_PENDING_F7S,SOURCE_RUN,CONDITIONAL,Same source_run and source_dataset_id as Dip row; FM sidecar LINEAGE_METADATA_HARDENED_PENDING_F7S
BL_DIP_TP18,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,18,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,CURVEFIT_ZOO buildConsensusTau per tau_vs_Tp_sidecar,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_18_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,SOURCE_RUN,CONDITIONAL,
BL_FM_TP18,PRB02B_V1,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp.csv,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,18,NOT_APPLICABLE_TP_SUMMARY_EXPORT,FM_abs,FM_abs magnitude per Tp summary over tw curves,tau_effective_seconds,CURVEFIT_ZOO buildEffectiveFmTau per tau_FM_vs_Tp_sidecar,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_18_PRB02B,OK_LINEAGE_PARTIAL_PENDING_F7S,SOURCE_RUN,CONDITIONAL,
BL_DIP_TP22,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,22,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,CURVEFIT_ZOO buildConsensusTau per tau_vs_Tp_sidecar,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_22_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,SOURCE_RUN,CONDITIONAL,
BL_FM_TP22,PRB02B_V1,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp.csv,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,22,NOT_APPLICABLE_TP_SUMMARY_EXPORT,FM_abs,FM_abs magnitude per Tp summary over tw curves,tau_effective_seconds,CURVEFIT_ZOO buildEffectiveFmTau per tau_FM_vs_Tp_sidecar,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_22_PRB02B,OK_LINEAGE_PARTIAL_PENDING_F7S,SOURCE_RUN,CONDITIONAL,
BL_DIP_TP26,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,26,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,CURVEFIT_ZOO buildConsensusTau per tau_vs_Tp_sidecar,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_26_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,SOURCE_RUN,CONDITIONAL,
BL_FM_TP26,PRB02B_V1,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp.csv,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,26,NOT_APPLICABLE_TP_SUMMARY_EXPORT,FM_abs,FM_abs magnitude per Tp summary over tw curves,tau_effective_seconds,CURVEFIT_ZOO buildEffectiveFmTau per tau_FM_vs_Tp_sidecar,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_26_PRB02B,OK_LINEAGE_PARTIAL_PENDING_F7S,SOURCE_RUN,CONDITIONAL,
BL_DIP_TP30,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,30,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,CURVEFIT_ZOO buildConsensusTau per tau_vs_Tp_sidecar,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_30_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,SOURCE_RUN,CONDITIONAL,grid_disclosure partial ladder Tp30—ledger cites sidecar not tw-row expansion
BL_FM_TP30,PRB02B_V1,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp.csv,"aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec",c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,30,NOT_APPLICABLE_TP_SUMMARY_EXPORT,FM_abs,FM_abs magnitude per Tp summary over tw curves,tau_effective_seconds,CURVEFIT_ZOO buildEffectiveFmTau per tau_FM_vs_Tp_sidecar,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_30_PRB02B,OK_LINEAGE_PARTIAL_PENDING_F7S,SOURCE_RUN,CONDITIONAL,
