field,value
TASK_COMPLETED,YES
FIX03_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
REPLAY_RUN,NO
NEW_TAU_COMPUTED,NO
TAU_REFIT_PERFORMED,NO
RATIOS_COMPUTED,NO
COMPARISON_RUNNER_RUN,NO
NEW_FIGURES_GENERATED,NO
FULL_RUN_COMMITTED,NO
FM_BRANCH_TARGETED,YES
DIP_BRANCH_TOUCHED,NO
SHARED_DATASET_LINEAGE_CLOSED_UPSTREAM,YES
DIP_BRANCH_CLOSED_UPSTREAM,YES
FM_PATHWAY_IDENTITY_IDENTIFIED,YES
FM_SEMANTIC_LABEL_CONFIRMED,YES
FM_SOURCE_SIGNAL_OBJECT_IDENTIFIED,YES
FM_COMPONENT_DEFINITION_IDENTIFIED,YES
FM_ABS_MEANING_IDENTIFIED,YES
FM_EXTRACTION_METHOD_IDENTIFIED,YES
FM_COMPONENT_ROWS_SOURCE_IDENTIFIED,YES
FM_TAU_ARTIFACT_IDENTIFIED,YES
FM_TAU_SIDECAR_IDENTIFIED,YES
FM_SIGN_MAG_BASELINE_NORMALIZATION_DISCLOSED,YES
FM_TAU_INDEPENDENT_OF_COLLAPSE_OPTIMIZER,YES
FM_TAU_INDEPENDENT_OF_OLDFIT_FORENSIC,YES
FM_BRANCH_LOCAL_RUN_DEPENDENCY_REMAINS,YES
FM_BRANCH_BLOCKER_CLOSED_AFTER_FIX03,YES
FM_BRANCH_BLOCKER_STATUS_AFTER_FIX03,CLOSED
DIP_TAU_CANONICAL_READY_AFTER_FIX03,PARTIAL
FM_TAU_CANONICAL_READY_AFTER_FIX03,PARTIAL
TAU_CANONICAL_SET_READY_AFTER_FIX03,NO
SAFE_TO_USE_TAU_AS_CANONICAL_EVIDENCE_AFTER_FIX03,NO
SAFE_TO_RUN_RATIOS_AFTER_FIX03,NO
SAFE_TO_RUN_COMPARISON_RUNNER_AFTER_FIX03,NO
READY_FOR_FIX04_SIDECAR_HARDENING,YES
READY_FOR_FIX05_ROW_IDENTITY,YES
READY_FOR_ARCHIVE_COMMIT,YES
