field,value
TASK_COMPLETED,YES
FIX06_ONLY,YES
UPDATED_F01A_POLICY_APPLIED,YES
F01A_FILE_ALLOWED_TRACKED,YES
F01A_FILE_STAGED,NO
STAGED_SET_EXACTLY_FIX06_ARTIFACTS,YES
STAGED_SET_CONTAINS_FORBIDDEN_PATHS,NO
POST_COMMIT_SHOW_CHECKED,YES
POST_COMMIT_CONTAINS_ONLY_FIX06_ARTIFACTS,YES
POST_COMMIT_CONTAINS_FORBIDDEN_PATHS,NO
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
REPLAY_RUN,NO
NEW_TAU_COMPUTED,NO
TAU_REFIT_PERFORMED,NO
RATIOS_COMPUTED,NO
COMPARISON_RUNNER_RUN,NO
NEW_FIGURES_GENERATED,NO
FULL_RUN_COMMITTED,NO
READINESS_GATE_TARGETED,YES
FIX01C_DATASET_LINEAGE_CLOSED,YES
FIX02_DIP_BRANCH_CLOSED,YES
FIX03_FM_BRANCH_CLOSED,YES
FIX04_SIDECAR_METADATA_CLOSED,YES
FIX05_ROW_IDENTITY_STATUS,PARTIAL_BODY_RUN_LOCAL
ROW_LEVEL_BODY_RUN_LOCAL_REMAINS,YES
BASELINE_DIP_FM_LANE_READY_AS_GOVERNANCE_EVIDENCE,YES
BASELINE_DIP_FM_TAU_READY_AS_SCIENTIFIC_EVIDENCE,NO
TAU_CANONICAL_SET_READY_AFTER_FIX06,NO
SAFE_TO_USE_TAU_AS_CANONICAL_EVIDENCE_AFTER_FIX06,NO
SAFE_TO_RUN_RATIOS_AFTER_FIX06,PARTIAL
SAFE_TO_RUN_COMPARISON_RUNNER_AFTER_FIX06,NO
COLLAPSE_OPTIMIZER_EXCLUDED,YES
OLDFIT_FORENSIC_EXCLUDED,YES
NONBASELINE_TAU_EXCLUDED,YES
ALLOWED_NEXT_TASK_DEFINED,YES
READY_FOR_RATIO_COMPARISON_DESIGN,YES
READY_FOR_RATIO_COMPARISON_EXECUTION,NO
READY_FOR_ARCHIVE_COMMIT,YES
