key,value
AGING_TAU_METADATA_GATE_COMPLETE,YES
TAU_SOURCES_INVENTORIED,YES
TAU_EFFECTIVE_SECONDS_POLICY_WRITTEN,YES
BASELINE_TAU_METADATA_READY,PARTIAL
BASELINE_TAU_EXTRACTION_ALLOWED_NEXT,PARTIAL
BASELINE_RATIO_ALLOWED_NEXT,PARTIAL
MULTIPATH_TAU_ALLOWED_NEXT,NO
MULTIPATH_RATIO_ALLOWED_NEXT,NO
TAU_COMPUTED,NO
RATIO_COMPUTED,NO
NEW_PHYSICS_CLAIMS_MADE,NO
MATLAB_RUN,NO
PYTHON_RUN,NO
REPLAY_RUN,NO
SWITCHING_TOUCHED,NO
RELAXATION_TOUCHED,NO
MAINTENANCE_INFRA_TOUCHED,NO
MT_TOUCHED,NO
READY_FOR_ARCHIVE_COMMIT,YES
RECOMMENDED_NEXT_ACTION,"Close B-003 dual tau_effective_seconds disclosure in writers and cite tau bundle on any tau or ratio read; pair tau_vs_Tp and tau_FM_vs_Tp from consistent aging_observable_dataset build before ratio re-entry; keep multipath tau and multipath ratio blocked per aging_multipath_status_01"
