status_key,status_value,evidence,notes
AGING_TRACKB_READER_VALIDATION_COMPLETE,YES,"reports/aging/aging_trackB_reader_validation_01.md",""
CANONICAL_REENTRY_MAP_USED,YES,"aging_canonical_reentry_map_01",""
F7X_F7Y_GUIDE_USED,YES,"docs/aging_observable_user_guide_draft.md",""
PRIMARY_TRACKB_SOURCE_IDENTIFIED,YES,"tables/aging/aging_observable_dataset.csv",""
TRACKB_COLUMNS_PASS,YES,"aging_trackB_reader_column_audit_01",""
TP_TW_GRID_READY_FOR_DIP,PARTIAL,"Tp 30 34 lack tw=3 row",""
TP_TW_GRID_READY_FOR_FM,PARTIAL,"same",""
DIP_TW_INVENTORY_ALLOWED_NEXT,YES,"inventory and convergence prep",""
FM_TW_INVENTORY_ALLOWED_NEXT,YES,"same",""
TAU_EXTRACTION_ALLOWED_HERE,NO,"metadata gate B-003",""
RATIO_COMPUTED_HERE,NO,"",""
RATIO_REENTRY_ALLOWED_NEXT,NO,"tau pairing first",""
NEW_PHYSICS_CLAIMS_MADE,NO,"audit only",""
MATLAB_RUN,NO,"",""
PYTHON_RUN,NO,"",""
REPLAY_RUN,NO,"",""
SWITCHING_TOUCHED,NO,"",""
RELAXATION_TOUCHED,NO,"",""
MAINTENANCE_INFRA_TOUCHED,NO,"",""
MT_TOUCHED,NO,"",""
READY_FOR_ARCHIVE_COMMIT,YES,"Seven new aging artifacts only",""
RECOMMENDED_NEXT_TASK,AGING-DIP-FM-TW-INVENTORY-01,"Dip and FM same grid; joint inventory before tau","Alternate label AGING-DIP-TW-01 if split"
