model,category,n,loocv_rmse,pearson_y_yhat,spearman_y_yhat,max_leverage,baseline_loocv_rmse,rmse_ratio_model_over_baseline,baseline_insample_rmse,beats_loocv_baseline
alpha_res ~ spread90_50,PT_only,12,0.546632318505027,4.34776043377195e-16,0.307692307692308,0.752371230367337,0.48678670134464,1.12294012345669,0.446221142899254,0
alpha_res ~ asymmetry,PT_only,12,0.542540436447368,1.85938987789415e-15,-0.160839160839161,0.672386798923047,0.48678670134464,1.1145342199134,0.446221142899254,0
alpha_res ~ spread90_50 + asymmetry,PT_only,12,0.884902508420153,2.78550246232463e-15,-0.0699300699300699,0.916412015112515,0.48678670134464,1.81784446036797,0.446221142899254,0
alpha_res ~ S_peak,switching_only,12,0.535872816058858,0.0993017494462756,-0.0769230769230769,0.289630117303779,0.48678670134464,1.10083700844462,0.446221142899254,0
alpha_res ~ I_peak_mA,switching_only,12,0.547269716189776,0.273367095088249,0.0836242010007091,0.33333333333333,0.48678670134464,1.12424952176809,0.446221142899254,0
alpha_res ~ S_peak + I_peak_mA,switching_only,12,0.587842663990241,0.29729201416828,0.202797202797203,0.335752027370312,0.48678670134464,1.20759803496368,0.446221142899254,0
alpha_res ~ spread90_50 + S_peak,mixed,12,0.599259613426604,0.126009957209709,-0.00699300699300699,0.781063837754044,0.48678670134464,1.23105173533148,0.446221142899254,0
alpha_res ~ spread90_50 + I_peak_mA,mixed,12,1.05767110412637,0.560157528199954,0.58041958041958,0.944538130813986,0.48678670134464,2.17276088521889,0.446221142899254,0
alpha_res ~ asymmetry + S_peak,mixed,12,1.84017662219528,0.101249744693554,-0.0769230769230769,0.953371655538142,0.48678670134464,3.78025245371782,0.446221142899254,0
alpha_res ~ asymmetry + I_peak_mA,mixed,12,0.836051596300294,0.276517971288497,-0.202797202797203,0.823628878363782,0.48678670134464,1.71749062575228,0.446221142899254,0
alpha_res ~ spread90_50 + asymmetry + S_peak,mixed,12,1.98521215980128,0.192513689813994,0.321678321678322,0.960100733166226,0.48678670134464,4.07819719461845,0.446221142899254,0
alpha_res ~ spread90_50 + asymmetry + I_peak_mA,mixed,12,0.58920978837296,0.796082547377842,0.664335664335664,0.962208425591759,0.48678670134464,1.21040650195537,0.446221142899254,0
alpha_res ~ spread90_50 + asymmetry + S_peak + I_peak_mA,mixed,12,0.864037583501889,0.955866068077255,0.958041958041958,0.981529566509256,0.48678670134464,1.77498189887928,0.446221142899254,0
