T_K,kappa1,kappa2,alpha_res,theta_rad,r,theta_unwrapped_rad,delta_theta_rad,theta_smoothed_unwrapped_rad,delta_theta_smoothed_rad,kappa_curve,ds_step,delta_T_K
4,0.179546725888347,-0.0656223683737462,0.206890813243776,-0.350406373255516,0.191163077000254,-0.350406373255516,NaN,-0.149266681399218,NaN,NaN,NaN,NaN
6,0.190781377067108,-0.0615892619750529,0.250004865620464,-0.312264682798106,0.200476360267872,-0.312264682798106,0.0381416904574101,-0.0497392922233624,0.0995273891758554,0.0190708452287051,0.0119366383178689,2
8,0.19690765457114,-0.0497927909180983,-0.320296435829951,-0.247681601167612,0.203105751903093,-0.247681601167612,0.0645830816304939,0.0452314687272586,0.0949707609506211,0.032291540815247,0.0132924040509599,2
10,0.17710703759542,-0.0252478335549061,-0.712487105029701,-0.141602822545212,0.178897612798611,-0.141602822545212,0.106078778622399,0.128120753696607,0.082889284969348,0.0530393893111997,0.0315360010873302,2
12,0.15269503326033,0.0481763654815828,-0.0140320891101201,0.305622072770357,0.160114756888265,0.305622072770357,0.447224895315569,0.166060051330778,0.0379392976341717,0.223612447657785,0.0773760877778555,2
14,0.12447122604336,0.0598040402254154,0.183127832882655,0.447897653655914,0.138092756290909,0.447897653655914,0.142275580885558,0.340341506255892,0.174281454925114,0.0711377904427788,0.0305251718057253,2
16,0.107134927362003,0.0756877685633675,0.344779493014267,0.615056034430985,0.131173667216265,0.615056034430985,0.167158380775071,0.504376957434759,0.164035451178867,0.0835791903875353,0.0235125514966599,2
18,0.0980185873442758,0.0839682454095365,0.169705144080602,0.708345748482042,0.129067074430792,0.708345748482042,0.0932897140510575,0.555603471822722,0.0512265143879623,0.0466448570255287,0.0123155979196609,2
20,0.0898318457622685,0.0455834306546876,-0.741530506542153,0.469574432404152,0.100735344657705,0.469574432404152,-0.23877131607789,0.642754258618713,0.0871507867959919,0.119385658038945,0.0392481431598316,2
22,0.0382966167716672,0.10405084115363,0.943606441288392,1.21812672107051,0.110874741943032,1.21812672107051,0.748552288666358,0.690915999454193,0.0481617408354795,0.374276144333179,0.0779379106569169,2
24,0.0699734936967039,0.162440757725133,-0.109159592680226,1.1640543778117,0.176870827414919,1.1640543778117,-0.0540723432588142,0.731419057087239,0.0405030576330464,0.0270361716294071,0.0664289612213755,2
26,0.0640590044738315,0.013878672075776,-0.200608860937995,0.21335702832405,0.0655452026678176,0.21335702832405,-0.950697349487645,0.75469166161849,0.0232726045312509,0.475348674743823,0.148679771573857,2
