T_K,kappa1,kappa2,alpha,I_peak_mA,median_I_q50,q90_minus_q50,q75_minus_q25,skew_I_weighted,asymmetry_q_spread,width_mA,S_peak
4,0.179546725888347,-0.0656223683737462,-0.365489083964439,35,37.2262483488648,9.41261149726623,11.1758348186465,0.132705371970345,3.76983848734407,21.4741266295253,0.349600045040287
6,0.190781377067108,-0.0615892619750529,-0.322826383381165,35,36.8653320846295,9.55394319821225,11.2542899538542,0.162694700058174,3.94303052454227,21.1673597661233,0.341950817738385
8,0.19690765457114,-0.0497927909180983,-0.252873820606648,35,36.2609004279063,9.64705644636592,11.1690685480321,0.295361983485889,4.26069707717483,20.1257057835343,0.311011499245369
10,0.17710703759542,-0.0252478335549061,-0.142556918673,35,35.865414277785,9.61983501064014,11.0750007402217,0.355349129471735,4.41159137121338,18.8978502373663,0.265625424732821
12,0.15269503326033,0.0481763654815828,0.315507089215186,35,36.0583926110249,9.38050091795958,10.925941037422,0.335093643785498,4.18081710635763,17.5091523375039,0.232986037937288
14,0.12447122604336,0.0598040402254154,0.480464779904895,35,36.1422935282918,9.31888246089417,10.864230196351,0.323685365038732,4.13500973522794,16.5232967451266,0.192544819951381
16,0.107134927362003,0.0756877685633675,0.706471460120773,35,36.0120688077688,9.08532415479673,10.7164786604965,0.359920709653674,4.01434019724329,15.3577651079767,0.162443432649134
18,0.0980185873442758,0.0839682454095365,0.856656351459244,35,35.6019424259269,9.17433512174388,10.6651366986577,0.345605456027297,4.2431578741761,14.52578362199,0.142095227831458
20,0.0898318457622685,0.0455834306546876,0.507430636294838,35,34.822836498331,9.61135965802332,10.6688614201723,0.387199927699178,4.93032172853424,15.0734059235043,0.118297407736058
22,0.0382966167716672,0.10405084115363,2.71697214858441,30,33.391621386928,10.5978611343626,11.3701170686553,0.427846205705692,5.53041924710558,17.2137025922607,0.0848252860423066
24,0.0699734936967039,0.162440757725133,2.32146130117818,30,31.3830442865084,11.5142479606903,10.3500218816395,0.639798693529603,6.83333090021329,12.5009863451298,0.0930645821294685
26,0.0640590044738315,0.013878672075776,0.216654507664813,30,28.5664179012997,10.8091029831589,8.72072029407308,0.493037243512742,6.82717937006676,13.100114869552,0.0732255508855988
28,0.0611692729252666,0.059297741557869,0.969404060602713,25,25.570592391494,8.84016468731544,7.92639477302185,0.19705363661062,4.93091397555332,10.2742671408049,0.0809671274875996
30,0.0481472826690587,-0.359176031865287,-7.4599439875785,20,21.5432366897493,7.82972574375568,6.57731379303807,0.856335989081642,4.5501338587308,8.70317861525431,0.0879097809338481
