T_K,alpha,kappa1,spread90_50,asymmetry,width_mA_PT,I_peak_mA_PT,yhat_PT_only,yhat_PT_kappa1,residual_PT_only,residual_PT_kappa1
4,-0.365489083964439,0.179546725888347,10.7122710022057,5.29991689811793,7.86661927653615,25,-0.572379897208215,-0.565949777198192,0.206890813243776,0.200460693233753
6,-0.322826383381165,0.190781377067108,10.4147583748364,5.18219300219786,7.71067565032794,15,-0.572831249001629,-0.683892540035639,0.250004865620464,0.361066156654474
8,-0.252873820606648,0.19690765457114,10.3972726204107,5.84969272940016,7.60493883219001,15,0.0674226152233031,-0.30428886871005,-0.320296435829951,0.0514150481034018
10,-0.142556918673,0.17710703759542,10.5657782713878,6.44540026768484,7.54520029995239,15,0.569930186356701,0.214913370768459,-0.712487105029701,-0.357470289441459
12,0.315507089215186,0.15269503326033,10.5066975999028,6.16890869579565,7.59912993304907,20,0.329539178325306,0.253411175472626,-0.0140320891101201,0.06209591374256
14,0.480464779904895,0.12447122604336,10.6588524255782,6.19495309131303,7.68596545689489,20,0.29733694702224,0.481019103018077,0.183127832882655,-0.000554323113181598
16,0.706471460120773,0.107134927362003,10.5972134710251,6.23844772573496,7.63242207540779,20,0.361691967106506,0.665633875411098,0.344779493014267,0.040837584709675
18,0.856656351459244,0.0980185873442758,10.5323657232522,6.555492846607,7.54938147350023,20,0.686951207378642,0.957066498552011,0.169705144080602,-0.100410147092767
20,0.507430636294838,0.0898318457622685,10.2574988028397,7.03914401276717,7.3329322277851,20,1.24896114283699,1.38432288849915,-0.741530506542153,-0.876892252204315
22,2.71697214858441,0.0382966167716672,8.33513069803241,6.83391146322352,6.25589013173686,15,1.77336570729602,2.02325938985281,0.943606441288392,0.693712758731598
24,2.32146130117818,0.0699734936967039,7.00006707021521,7.00006707021521,4.28520819721847,15,2.43062089385841,2.09709546873405,-0.109159592680226,0.224365832444129
26,0.216654507664813,0.0640590044738315,3.5,3.5,2.5,15,0.417263368602808,0.515281483432679,-0.200608860937995,-0.298626975767866
28,0.969404060602713,0.0611692729252666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,-7.4599439875785,0.0481472826690587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
