ARTIFACT,WRITER_FUNCTION_OR_SCRIPT,CODE_LOCATION,WRITE_COUNT_SUCCESS_PATH,DETERMINISM,OVERWRITE_RISK_NOTES
execution_status.csv,run_switching_canonical.m_(writetable),Switching/analysis/run_switching_canonical.m_statusPath_lines_67-69_113-115_600-601,3_sequential_writes_same_path,ORDERED_overwrites_FINAL_row_is_SUCCESS,Same_file_overwritten;_race_unlikely_single_MATLAB_process
execution_probe.csv,run_switching_canonical.m_(writetable),Switching/analysis/run_switching_canonical.m_lines_89-91,1,Deterministic_probe_value_1,None_single_write
execution_probe_top.txt,run_switching_canonical.m_(fopen/fclose),Switching/analysis/run_switching_canonical.m_lines_71-72,1,Creates_empty_file,None
execution_probe_status.csv,run_switching_canonical.m_(writetable),Switching/analysis/run_switching_canonical.m_line_112,1,Deterministic_from_probe_fields,None
switching_canonical_observables.csv,run_switching_canonical.m_(writetable),Switching/analysis/run_switching_canonical.m_line_489,1,Deterministic_given_inputs,None
switching_canonical_phi1.csv,run_switching_canonical.m_(writetable),Switching/analysis/run_switching_canonical.m_line_492,1,Deterministic_given_inputs,None
switching_canonical_S_long.csv,run_switching_canonical.m_(writetable),Switching/analysis/run_switching_canonical.m_line_485,1,Deterministic_given_inputs,None
switching_canonical_validation.csv,run_switching_canonical.m_(writetable),Switching/analysis/run_switching_canonical.m_line_505,1,Deterministic_given_inputs,None
run_manifest.json,writeManifest_(local_in_createRunContext.m),Aging/utils/createRunContext.m_writeManifest_lines_160-233,1_per_new_run,SKIP_if_file_already_exists,If_manifest_preexists_warning_and_no_overwrite;_collision_rare_makeUniqueRunId
fingerprint_fields_in_manifest,computeRunFingerprint_embedded_in_createRunContext,Aging/utils/createRunContext.m_computeRunFingerprint_lines_235-271,Computed_once_per_createRunContext_call,Depends_on_git_file_hash_env,script_hash_tied_to_resolved_script_path
report_run_switching_canonical_report.md,run_switching_canonical.m_(fprintf),Switching/analysis/run_switching_canonical.m_lines_507-528,1_per_success,Deterministic_template,None
report_run_switching_canonical_implementation.md,run_switching_canonical.m_(fprintf),Switching/analysis/run_switching_canonical.m_lines_564-596_success;_670-681_failure,1_success_or_failure_path,Deterministic_template,Failure_opens_alternate_path_if_implReportPath_empty
run_switching_canonical_implementation_status.csv,run_switching_canonical.m_(writetable),Switching/analysis/run_switching_canonical.m_lines_562;_665-667,1,Deterministic,Failure_may_write_to_failTablesDir_if_implStatusPath_empty
runtime_execution_markers.txt,write_execution_marker.m,tools/write_execution_markers.m_append_to_run_dir,Multiple_append,ORDERED_timestamps,Append-only;_early_ENTRY_may_also_hit_tables/runtime_execution_markers_fallback.txt
tables/runtime_execution_markers_fallback.txt,write_execution_marker.m,tools/write_execution_marker.m_when_no_run_dir,0_or_more_appends,ORDERED,Cross-run_accumulation_repo-level_noise
