"FILE","CHANGE_DETECTED","CHANGE_CONFIDENCE","FILE_TYPE","IN_BOUNDARY","CHANGE_SCOPE_VERDICT","RECOMMENDED_ACTION","REASON","EVIDENCE_BASIS"
"Aging/utils/createRunContext.m","YES","HIGH","CANONICAL_INFRA_ALLOWED","YES","IN_SCOPE_ALLOWED","KEEP","Allowed infra for Switching canonical entrypoint.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/agent_prompt_exclude.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Governance docs for execution or Switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/AGENT_RULES.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Governance docs for execution or Switching policy.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/execution_failure_classification.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Governance docs for execution or Switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/execution_status_schema.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Governance docs for execution or Switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/repo_context_infra.md","YES","HIGH","DOC","UNCERTAIN","UNCERTAIN","MANUAL_REVIEW","Documentation; confirm alignment with canonical policy.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/repo_context_minimal.md","YES","HIGH","DOC","UNCERTAIN","UNCERTAIN","MANUAL_REVIEW","Documentation; confirm alignment with canonical policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/repo_execution_rules.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Governance docs for execution or Switching policy.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/repo_map.md","YES","HIGH","DOC","UNCERTAIN","UNCERTAIN","MANUAL_REVIEW","Documentation; confirm alignment with canonical policy.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/run_system.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Governance docs for execution or Switching policy.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/switching_backend_definition.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Governance docs for execution or Switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/switching_canonical_definition.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Governance docs for execution or Switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/switching_dependency_boundary.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Governance docs for execution or Switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/switching_layer_boundary.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Governance docs for execution or Switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"docs/templates/","YES","HIGH","DOC","UNCERTAIN","UNCERTAIN","MANUAL_REVIEW","Documentation; confirm alignment with canonical policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"reports/canonical_boundary_truth.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Audit report artifact for boundary or leakage.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"reports/leakage_cleanup.md","YES","HIGH","DOC","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Audit report artifact for boundary or leakage.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching ver12/main/Switching_main.m","YES","HIGH","LEGACY","YES","IN_SCOPE_ALLOWED","KEEP","Legacy path donor fileread target; in closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching ver12/plots/plotSwitchingPanelF.m","YES","HIGH","LEGACY","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Not in 16-file closure; legacy backend surface.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
