FILE,ACCESS_DIRECTION,TARGET_CLASS,TARGET_PATH_OR_PATTERN,IS_ALLOWED,VIOLATION_TYPE,EVIDENCE_BASIS
Switching/analysis/run_switching_canonical.m,READ,RAW_INPUT,"<parentDir from Switching_main.m>/**/Temp Dep*/**/*.dat",YES,,"dir()/importdata chain; parentDir parsed from legacy Switching_main.m string."
Switching/analysis/run_switching_canonical.m,READ,EXTERNAL,"Switching ver12/main/Switching_main.m (embedded dir string)",YES,,"fileread + regexp for dir = ""...""; path may be absolute off-repo (e.g. cloud drive)."
Switching/analysis/run_switching_canonical.m,READ,UNKNOWN,"Switching ver12/main/Switching_main.m file bytes",YES,,"fileread(switchMainPath) for regex only; script not run."
Switching/analysis/run_switching_canonical.m,WRITE,RUN_DATA,"<repoRoot>/results/Switching/runs/<run_id>/**",YES,,"mkdir; writetable; fopen execution_probe_top.txt; run_dir/tables; run_dir/reports; execution_status.csv."
Switching/analysis/run_switching_canonical.m,WRITE,REPORTS,"<run_dir>/reports/*.md",YES,,"fopen writetext reports under run_dir only (not repo-root reports/)."
tools/write_execution_marker.m,WRITE,RUN_DATA,"<run_dir>/runtime_execution_markers.txt",YES,,"Append when run_dir resolved."
tools/write_execution_marker.m,WRITE,TABLES,"<repoRoot>/tables/runtime_execution_markers_fallback.txt",NO,ROOT_TABLES_FALLBACK,"Code path: lines 40-49 when run_dir empty or missing; mkdir tables if needed."
Aging/utils/createRunContext.m,READ,EXTERNAL,"git rev-parse HEAD via system()",YES,,"resolveGitCommit(repoRoot)."
Aging/utils/createRunContext.m,READ,UNKNOWN,"Calling script path (SHA256)",YES,,"computeFileSha256 on resolved script from stack."
Aging/utils/createRunContext.m,WRITE,RUN_DATA,"<repoRoot>/results/<experiment>/runs/<run_id>/{run_manifest.json,config_snapshot.m,log.txt,run_notes.txt,run_status.csv}",YES,,"mkdir runsRoot; fopen writes."
Switching ver12/main/Switching_main.m,READ,UNKNOWN,"(file read by canonical script only)",YES,,"No execution; not a runtime read of other artifacts by this file itself."
Switching ver12/getFileListSwitching.m,READ,RAW_INPUT,"<directory>/*.dat",YES,,"dir(fullfile(directory,'*.dat'))."
Switching ver12/parsing/extract_dep_type_from_folder.m,READ,UNKNOWN,"folder name string",YES,,"No filesystem reads beyond caller context."
Switching ver12/parsing/extractPulseSchemeFromFolder.m,READ,UNKNOWN,"folder path string",YES,,"No extra file reads."
Switching ver12/parsing/extract_num_of_pulses_from_name.m,READ,UNKNOWN,"folder/file name string",YES,,"No file I/O."
Switching ver12/parsing/extract_delay_between_pulses_from_name.m,READ,UNKNOWN,"path string",YES,,"No file I/O."
General ver2/resolve_preset.m,READ,UNKNOWN,"filename string argument",YES,,"No file I/O."
General ver2/select_preset.m,READ,UNKNOWN,"preset key string",YES,,"No file I/O."
General ver2/extract_preset_from_filename.m,READ,UNKNOWN,"filename string",YES,,"No file I/O."
Switching ver12/main/processFilesSwitching.m,READ,RAW_INPUT,"<directory>/<file>.dat",YES,,"importdata(filename) per fileList entry."
General ver2/resolve_norm_indices.m,READ,UNKNOWN,"in-memory arrays",YES,,"No file I/O."
Switching ver12/main/analyzeSwitchingStability.m,READ,UNKNOWN,"in-memory stored_data",YES,,"No file I/O on canonical path (debugMode false)."
Switching ver12/resolveNegP2P.m,READ,UNKNOWN,"path string",YES,,"Regexp on path only."
