FILE,CALLED_BY,DEPTH,ROLE,EXECUTION_REACHABLE,ACCESSES_RESULTS_RUN,ACCESSES_RAW_INPUT,ACCESSES_TABLES,ACCESSES_REPORTS,ACCESSES_OTHER_RUNS,ACCESSES_EXTERNAL_PATHS,WRITES_RUN_DIR,WRITES_TABLES,WRITES_REPORTS,SCOPE_VERDICT,NOTES
Switching/analysis/run_switching_canonical.m,,0,ENTRYPOINT,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,IN_CANONICAL_BOUNDARY,"Orchestrates path setup; filereads Switching_main.m; reads raw .dat via downstream; writes under run_dir only (including run_dir/tables and run_dir/reports subdirs; not repo-root tables/reports)."
tools/write_execution_marker.m,run_switching_canonical.m,1,INFRA_ALLOWED,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,IN_CANONICAL_BOUNDARY,"May append runtime_execution_markers.txt under run_dir; if run_dir unavailable appends to repo tables/runtime_execution_markers_fallback.txt (see violations)."
Aging/utils/createRunContext.m,run_switching_canonical.m,1,INFRA_ALLOWED,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,IN_CANONICAL_BOUNDARY,"Creates results/<experiment>/runs/<run_id>/; system(git); reads calling script for SHA256 fingerprint; writes manifest/config/log/notes/run_status."
Switching ver12/main/Switching_main.m,run_switching_canonical.m (fileread),1,EXTERNAL_INPUT,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,IN_CANONICAL_BOUNDARY,"Not executed; fileread only to parse dir=""..."" raw parent path (legacy embedded absolute path)."
Switching ver12/getFileListSwitching.m,run_switching_canonical.m,1,CORE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"dir(*.dat) and parses folder name metadata under raw parent."
Switching ver12/parsing/extract_dep_type_from_folder.m,run_switching_canonical.m,1,CORE,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"String parse only."
Switching ver12/parsing/extractPulseSchemeFromFolder.m,run_switching_canonical.m,1,CORE,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"Calls extract_num_of_pulses_from_name."
Switching ver12/parsing/extract_num_of_pulses_from_name.m,extractPulseSchemeFromFolder.m,2,HELPER,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"String parse; may warn if pulse count missing."
Switching ver12/parsing/extract_delay_between_pulses_from_name.m,run_switching_canonical.m,1,CORE,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"String parse only."
General ver2/resolve_preset.m,run_switching_canonical.m (conditional exist),1,HELPER,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"Reached when resolve_preset and select_preset exist on path (General ver2 added)."
General ver2/select_preset.m,run_switching_canonical.m (conditional exist),1,HELPER,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"Preset lookup only; no file I/O."
General ver2/extract_preset_from_filename.m,resolve_preset.m,2,HELPER,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"String parse only."
Switching ver12/main/processFilesSwitching.m,run_switching_canonical.m,1,CORE,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"importdata on each .dat under folder; no repo tables/reports."
General ver2/resolve_norm_indices.m,processFilesSwitching.m,2,HELPER,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"Pure mapping logic."
Switching ver12/main/analyzeSwitchingStability.m,run_switching_canonical.m,1,CORE,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"Includes local subfunctions in same file; debugMode false in canonical run (no figure I/O)."
Switching ver12/resolveNegP2P.m,run_switching_canonical.m (conditional exist),1,HELPER,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,IN_CANONICAL_BOUNDARY,"Path string parse only when on path."
