T_K,rmse_M1,rmse_M2,rmse_M3,corr_M1,corr_M2,corr_M3,kappa1_M2,kappa1_M3,kappa2_M3
4,0.0727407457055976,0.0149085544659036,0.0142064250754221,NaN,0.985244024127904,0.979972140772792,0.1791081008295,0.179201743923582,-0.0640047699707212
6,0.0761605724502537,0.00924055133468666,0.00822306211120213,NaN,0.995520339664292,0.99332458966919,0.19045556392729,0.19054409956523,-0.0605138392328379
8,0.0780303749597419,0.00440966125670919,0.0028645939492302,NaN,0.997892161642727,0.999101128058709,0.19688352274809,0.196956306100411,-0.0497471999262748
10,0.070281579791172,0.00611802706306922,0.00588607140759856,NaN,0.994058969041636,0.995358904682111,0.177232764187154,0.177270302738862,-0.0256574859113368
12,0.0605167845988133,0.00473391889963247,0.00342350619496945,NaN,0.998056548557691,0.997533636646122,0.152888168813239,0.152818291094062,0.0477612085102726
14,0.0493872981700892,0.00471409846873553,0.00241598474094662,NaN,0.996319233428493,0.997890979403845,0.124675211364648,0.124588236356422,0.0594471535704106
16,0.0426789808008336,0.00557503413491807,0.00219891654316352,NaN,0.993587112582395,0.997526595182191,0.107313793093489,0.107203729850041,0.0752278921170503
18,0.0391728356079488,0.00595882517200729,0.00182145597284641,NaN,0.993767214531863,0.998045040149704,0.0981713860724047,0.098049069688348,0.0836028764528488
20,0.0358094084556344,0.0048077332842346,0.00367727238908824,NaN,0.997519798317795,0.992958114404747,0.0899668104649814,0.0899007805471874,0.045131247968869
22,0.017847870324358,0.00945159432051751,0.00637110546842116,NaN,0.750012206898077,0.923145138705308,0.0383232558550202,0.0381706476765381,0.104307225804054
24,0.0299898988333285,0.0118172307484824,0.00439744165841778,NaN,0.96197784256403,0.976589565845082,0.0702769165389231,0.0700401278270209,0.161844364344758
26,0.0272129170260138,0.0100856680466385,0.0100383683270881,NaN,0.895695377502486,0.885940757875768,0.0642312698752772,0.064211938430607,0.0132129836315959
28,0.0254541896164748,0.00802760781249073,0.00692547418944633,NaN,0.968183997476023,0.93517520850478,0.0612812241185018,0.0611960383131626,0.0582242388396681
30,0.0315946508592327,0.0251007421751022,0.00708785466504462,NaN,0.803351191638867,0.977468489559878,0.0477758687518587,0.0483031377024779,-0.360386723953782
