target,scaling_family,scaling_variable,transformation_used,fixed_Tc_or_T0,n_used,alpha,train_R2,LOOCV_RMSE,LOOCV_RMSE_relative_to_best_T_baseline,beats_best_T_baseline,empirical_fit_only_not_physical_law,notes
A_obs_canon,T_power,"1,log(T)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,15,6.51579483e-1,0.8674020215627785,0.000003189163656125945,1.4161900530200673,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=2.251932e-6 (T_linear)
A_obs_canon,Xeff_power,"1,log(Xeff_chosen)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,15,6.60588285e-1,0.9233853035258084,0.000002366876796367198,1.051042761415081,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=2.251932e-6 (T_linear)
A_obs_canon,invD_power,"1,log(invD_chosen)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,15,5.62460847e-1,0.9739995692798695,0.0000013780575055242083,0.6119445541981803,YES,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=2.251932e-6 (T_linear)
A_obs_canon,absT_minus_23K,"1,log(abs(T-23))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,15,-5.96111934e-2,0.04680554588195085,0.004386102773163265,1947.7066054437205,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=2.251932e-6 (T_linear)
A_obs_canon,absT_minus_25K,"1,log(abs(T-25))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,15,-6.26850692e-2,0.08354514907086952,0.010694271849231229,4748.932024257234,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=2.251932e-6 (T_linear)
A_obs_canon,absT_minus_31.5K,"1,log(abs(T-31.5))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,15,-3.67438730e-1,0.28494946477060557,0.000021666217610374845,9.621168799990027,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=2.251932e-6 (T_linear)
A_obs_canon,shifted_T_minus_0K,"1,log(max(T-0,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,0K,15,6.51579483e-1,0.8674020215627785,0.000003189163656125945,1.4161900530200673,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=2.251932e-6 (T_linear)
A_obs_canon,shifted_T_minus_3K,"1,log(max(T-3,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,3K,15,7.74751434e-2,0.23842957445206459,0.000007442687628153698,3.3050232986571237,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=2.251932e-6 (T_linear)
A_obs_canon,shifted_T_minus_5K,"1,log(max(T-5,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,5K,15,3.08919458e-2,0.21395111235392272,0.000007437825809565162,3.3028643441890932,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=2.251932e-6 (T_linear)
A_svd_full_oriented_candidate,T_power,"1,log(T)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,15,6.47099260e-1,0.8668117839502181,0.00005459657825975734,1.4077720226417894,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=3.878226e-5 (T_linear)
A_svd_full_oriented_candidate,Xeff_power,"1,log(Xeff_chosen)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,15,6.55531746e-1,0.9225896173806079,0.00004065508670422476,1.0482908538330473,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=3.878226e-5 (T_linear)
A_svd_full_oriented_candidate,invD_power,"1,log(invD_chosen)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,15,5.58279495e-1,0.9739905827868994,0.000023610554970423528,0.6087978365286661,YES,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=3.878226e-5 (T_linear)
A_svd_full_oriented_candidate,absT_minus_23K,"1,log(abs(T-23))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,15,-5.89502786e-2,0.04687093949065746,0.0717787251998914,1850.8134461566053,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=3.878226e-5 (T_linear)
A_svd_full_oriented_candidate,absT_minus_25K,"1,log(abs(T-25))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,15,-6.22216261e-2,0.08523135295740203,0.17406725710254156,4488.321840264031,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=3.878226e-5 (T_linear)
A_svd_full_oriented_candidate,absT_minus_31.5K,"1,log(abs(T-31.5))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,15,-3.64175475e-1,0.28566013928947087,0.0003700380128140754,9.541425092158049,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=3.878226e-5 (T_linear)
A_svd_full_oriented_candidate,shifted_T_minus_0K,"1,log(max(T-0,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,0K,15,6.47099260e-1,0.8668117839502181,0.00005459657825975734,1.4077720226417894,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=3.878226e-5 (T_linear)
A_svd_full_oriented_candidate,shifted_T_minus_3K,"1,log(max(T-3,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,3K,15,7.74615984e-2,0.24154890494310866,0.00012697009574372982,3.273922179696809,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=3.878226e-5 (T_linear)
A_svd_full_oriented_candidate,shifted_T_minus_5K,"1,log(max(T-5,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,5K,15,3.07543532e-2,0.21527131432547397,0.0001269131179797373,3.2724530088326618,NO,YES_EMPIRICAL_MONTECARLO_SMALL_N,best_T_LOOCV=3.878226e-5 (T_linear)
